子曰:學而時習之，不亦說乎?	Đức Khổng tử nói: “Học rồi mà tùy thời ôn tập, lại chẳng đẹp lòng sao?
子曰：善人教民七年，亦可以即戎矣。	Đức Khổng Tử nói: “Bậc thiện nhân dạy bảo dân trong bảy năm, cũng có thể khiến dân tham gia việc chiến trận được.”.
子曰：以不教民戰，是謂棄之。	Đức Khổng Tử nói: “Đem những người dân không được huấn luyện ra chiến đấu, ấy là phế bỏ dân.”.
子曰：邦有道，穀；邦無道，穀，恥也。克，伐，怨，欲，不行焉，可以為仁矣？	Đức Khổng Tử nói: “Nước có đạo lý ăn bổng lộc; nước không có đạo lý, ăn bổng lộc; hổ thẹn vậy.” “Hiếu thắng, khoe khoang, oán giận, ham muốn, mà không thể hiện ra, có thể là nhân chăng?”.
子曰：可以為難矣，仁則吾不知也。	Đức Khổng Tử nói:“Có thể là làm được những điều khó. Là nhân, thì ta không biết được.”.
子曰：士而懷居，不足以為士矣！	Đức Khổng Tử nói: “Kẻ sĩ chỉ lưu tâm đến đời sống bình lặng, không đủ để làm nên kẻ sĩ vậy.”.
子曰：邦有道，危言危行；邦無道，危行言孫。	Đức Khổng Tử nói: “Nước có đạo lý, nói lời cao thượng, hành động cao thượng; nước không có đạo lý, hành động cao thượng, nói lời nhũn nhặn.”.
子曰：有德者必有言，有言者不必有德。	Đức Khổng Tử nói: ”Người có đức ắt có khả năng ngôn ngữ; người có khả năng ngôn ngữ chưa hẳn đã có đức.
仁者必有勇，勇者不必有仁。	Người có lòng nhân ắt có tinh thần mạnh mẽ; người có tinh thần mạnh mẽ chưa hẳn đã có lòng nhân.”.
南宮适問於孔子曰：羿善射，奡盪舟，俱不得其死然。	Nam Cung Quát hỏi Đức Khổng Tử rằng:”Ông Nghệ bắn giỏi, ông Nghiệu kéo thuyền, đều chết không an lành như thế.
禹稷躬稼而有天下。	Ông Vũ, ông Tắc tự mình trồng lúa mà có thiên hạ.”.
夫子不答。	Đức Khổng Tử không trả lời.
南宮适出，子曰：君子哉若人！	Nam Cung Quát ra. Đức Khổng Tử nói: “Người ấy là bậc quân tử thay!
尚德哉若人！	Người ấy chuộng đức hạnh thay!”.
子曰：君子而不仁者有矣夫！	Đức Khổng Tử nói: ”Người quân tử mà không nhân hậu, cũng có chứ!
為有小人而仁者也！	Chưa từng có kẻ tiểu nhân mà lại nhân hậu.”.
子曰：愛之，能勿勞乎忠焉，能勿誨乎？	Đức Khổng Tử nói: ”Thương yêu, mà chẳng chịu khó nhọc ư? Trung thành, mà chẳng khuyên bảo ư?“.
子曰：為命，裨諶草創之，世叔討論之，行人子羽脩飾之，東里子產潤色之。	Đức Khổng Tử nói: ”Làm văn thư ngoại giao thì ông Tỳ Thầm phác thảo, ông Thế Thúc bàn xét lại, ông Tử Vũ coi việc ngoại giao, sửa chữa trau chuốt; ông Tử Sản ở Đông Lý thêm bớt cho hay.”.
或問子產。	Có người hỏi về Tử Sản.
子曰：惠人也。問子西。	Đức Khổng Tử nói: “Người có lòng nhân ái.” Hỏi về Tử Tây.
曰：彼哉彼哉！	Đáp: “Người ấy ư!
問管仲。	Người ấy ư!” Hỏi về Quản Trọng.
曰：人也，奪伯氏駢邑三百，飯疏食，沒齒，無怨言。	Đáp: “Đó là con người, đã chiếm lấy ấp Biền ba trăm hộ của họ Bá, khiến phải ăn uống đạm bạc, mà trót đời vẫn không một lời oán hận.”.
子曰：貧而無怨，難；富而無驕，易。	Đức Khổng Tử nói: “Nghèo mà không oán hận, khó; giàu mà không kiêu căng, dễ.”.
子曰：孟公綽，為趙魏老則優，不可以為滕薛大夫。	Đức Khổng Tử nói: “Ông Mạnh Công Xước làm gia thần cho họ Triệu, họ Ngụy thì thừa khả năng; nhưng không thể làm quan đại phu cho nước Đằng, nước Tiết.”.
子路問成人。	Tử Lộ hỏi về người hoàn toàn.
子曰：若臧武仲之知，公綽之不欲，卞莊子之勇，冉求之藝，文之以禮樂，亦可以為成人矣！	Đức Khổng Tử nói: “Ví bằng có sự khôn ngoan của Tang Vũ Trọng, có tính không ham muốn của Công Xước, có sự mạnh mẽ của Biện Trang Tử, có tài nghề của Nhiễm Cầu, lại lấy lễ nhạc làm văn vẻ, cũng có thể coi là người hoàn toàn vậy.”.
曰：今之成人者，何必然？	Ngài nói thêm: “Nhưng người hoàn toàn thời nay đâu hẳn phải như thế?
見利思義，見危授命，久要不忘平生之言，亦可以為成人矣！	Thấy lợi mà nghĩ đến điều nghĩa, thấy nguy mà chấp nhận s ố mệnh, ước hẹn đã lâu mà không quên lời nói trong đời mình, [như vậy] cũng có thể xem là người hoàn toàn vậy.”.
子問公叔文子於公明賈，曰：信乎？夫子不言不笑不取乎？	Đức Khổng Tử hỏi Công Minh Giả về ông Công Thúc Văn Tử rằng: “Có thực thầy ông không nói, không cười, không nhận của chăng?”.
公明賈對曰：以告者過也！	Công Minh Giả đáp rằng: “Ai bảo như th ế là quá đáng rồi.
夫子時然後言，人不厭其言；樂然後笑，人不厭其笑；義然後取，人不厭其取。	Thầy tôi gặp lúc mới nói, nên người ta không chán lời ông nói. Gặp lúc vui mới cười, nên người ta không chán ông cười. Hợp điều nghĩa mới nhận, nên người ta không chán ông nhận.”.
子曰：其然！	Đức Khổng Tử nói: ”Thế ấy ư?
豈其然乎？	Há thế ấy sao?”.
子曰：臧武仲以防，求為後於魯，雖曰不要君，吾不信也子曰：晉文公譎而不正，齊桓公正而不譎。	Đức Khổng Tử nói: “Tang Vũ Trọng xin đất Phòng cho con nối dõi ở nước Lỗ. Tuy nói rằng không đòi hỏi vua, ta không tin.”. Đức Khổng Tử nói: ”Tấn Văn Công lừa lọc mà không ngay thẳng, Tề Hoàn Công ngay thẳng mà không lừa lọc.”.
子路曰：桓公殺公子糾，召忽死之，管仲不死。曰未仁乎。	Tử Lộ nói: “Hoàn Công giết công tử Củ, Thiệu Hốt chết theo; Quản Trọng không chết; có thể nói chưa có đức nhân chăng?”.
子曰：桓公九合諸侯，不以兵車，管仲之力也。	Đức Khổng Tử nói: “Hoàn Công nhiều lần hội họp chư hầu, không dùng đến xe trận, đó là công sức của Quản Trọng.
如其仁！	Đức nhân của ông ấy là như vậy!
如其仁！	Đức nhân của ông ấy là như vậy!.
子貢曰：管仲非仁者與？	Tử Cống nói: “Quản Trọng chẳng phải người có đức nhân ư?
桓公殺公子糾，不能死，又相之。	Hoàn Công giết công tử Củ, không chết theo, lại còn làm tướng cho [ông ta].”.
子曰：管仲相桓公，霸諸侯，一匡天下，民到于今受其賜；微管仲，吾其被髮左衽矣！	Đức Khổng Tử nói: “Quản Trọng làm tướng cho Hoàn Công lãnh đạo chư hầu. Một sửa thiên hạ cho chính, dân chúng đến nay còn chịu ơn. Nếu không có Quản Trọng, ta đã phải gióc tóc mặc áo vạt trái rồi.
豈若匹夫匹婦之為諒也，自經於溝瀆，而莫之知也！	Há như những đàn ông, đàn bà thông thường cố giữ điều tín nhỏ, tự treo cổ ở ngòi rạch mà chẳng người nào biết đến sao?”.
公叔文子之臣大夫僎，與文子同升諸公。	Gia Thần của Công Thúc Văn Tử, đại phu Soạn, đã lên chức cùng Văn Tử ở công triều.
子聞之曰：可以為文矣！	Đức Khổng Tử nghe thấy vậy, nói: “Có thể đáng gọi là tốt đẹp (văn) vậy.“.
子言衛靈公之無道也。	Đức Khổng Tử nói về sự vô đạo của Vệ Linh Công.
康子曰：夫如是，奚而不喪？	Khang Tử nói: “Đã như thế, sao mà không mất ngôi?“.
孔子曰：仲叔圉治賓客，祝鮀治宗廟，王孫賈治軍旅。	Đức Khổng Tử nói: ”Trọng Thúc Ngữ coi sóc về tân khách, Chúc Đà coi sóc việc tông miếu, Vương Tôn Giả coi sóc về quân đội.
夫如是，奚其喪？	Đã như thế, sao mất được?“.
子曰：其言之不怍，則為之也難！	Đức Khổng Tử nói: “Nói mà không cảm thấy hổ thẹn, khi làm sẽ thấy khó.”.
陳成子弒簡公。	Trần Thành Tử giết Giản Công.
孔子沐浴而朝，告於哀公曰：陳恆弒其君，請討之。	Đức Khổng Tử tắm gội, rồi vào triều báo cho vua Ai Công rằng: “Trần Hằng giết vua, xin cho đánh dẹp.”.
公曰：告夫三子。	Vua nói: “Hãy báo cho ba nhà.”.
孔子曰：以吾從大夫之後，不敢不告也！	Đức Khổng Tử nói: “Vì tôi theo sau hàng đại phu nên chẳng dám không. báo.
君曰：“告夫三子者”之三子告，不可。	Vua nói: ‘Hãy báo cho ba nhà biết’, ba nhà ấy bảo: ‘Không thể được.’”.
孔子曰：以吾從大夫之後，不敢不告也！	Đức Khổng Tử nói: “Vì tôi theo sau hàng đại phu, nên chẳng dám không báo.”.
子路問事君。	Tử Lộ hỏi về việc thờ vua.
子曰：勿欺也，而犯之。	Đức Khổng Tử nói: “Đừng lừa dối, mà hãy can thiệp vào.”.
子曰：君子上達，人下達。	Đức Khổng Tử nói: “Quân tử hướng đến cao cả, tiểu nhân hướng đến thấp hèn.”.
子曰：古之學者為己，之學者為人。	Đức Khổng Tử nói: “Người học thời xưa vì mình; người học thời nay vì người.”.
蘧伯玉使人於孔子，孔子與之坐而問焉。曰：夫子何為？	Cừ Bá Ngọc sai người đến với Đức Khổng. Đức Khổng Tử ngồi với người ấy mà hỏi rằng: “Phu tử làm gì?”.
對曰：夫子欲寡其過而未能也。	Đáp rằng: “Phu tử muốn hạn chế lầm lỗi của mình, nhưng chưa được.”.
使者出。子曰：使乎！	Sứ giả đi ra, Đức Khổng Tử nói: “Khôn khéo thay!
使乎！	Khôn khéo thay!”.
曾子曰：君子思不出其位。	Tăng Tử nói: “Người quân tử suy nghĩ không ra ngoài chức vị của mình.”.
子曰：君子恥其言而過其行。	Đức Khổng Tử nói: “Người quân tử xấu hổ về lời nói mà vượt quá hành động.”.
子曰：君子道者三，我無能焉：仁者不憂，知者不惑，勇者不懼。子貢曰：夫子自道也！	Đức Khổng Tử nói: “Đường lối của người quân tử có ba điều mà ta không thể làm được: có đức nhân, không lo buồn; có đức trí, không ngờ vực, có đức dũng, không sợ sệt.” Tử Cống nói: ”Thầy tự bày tỏ như vậy.”.
子貢方人。	Tử Cống so sánh người.
子曰：賜也，賢乎哉？	Đức Khổng Tử nói: “Trò Tứ nhọc nhằn vậy thay!
夫我則不暇！	Còn ta thì chẳng nhàn rỗi.”.
子曰：不患人之不己知，患其不能也。	Đức Khổng Tử nói: “Đừng lo người ta không biết mình, hãy lo mình không có khả năng thôi.”.
子曰：不逆詐，不億不信，抑亦先覺者，是賢乎！	Đức Khổng Tử nói: “Không toan lường sự giả dối, không nghĩ rằng không tin được, hoặc giả cũng hiểu biết trước, chính là người giỏi vậy!”.
微生畝謂孔子曰：丘，何為是栖栖者與？	Vi Sinh Mẫu bảo Đức Khổng Tử rằng: “Sao ông Khâu lại hay lăng xăng như vậy?
無乃為佞乎？	Phải chăng là khoe tài ư?”.
孔子曰：非敢為佞也，疾固也。	Đức Khổng Tử nói: “Chẳng dám khoe tài đâu, mà giận ghét sự cố chấp thôi.”.
子曰：驥不稱其力，稱其德也。	Đức Khổng Tử nói: “Ngựa ký không phải được đề cao do sức của nó, mà được đề cao do đức của nó.”.
或曰：以德報怨，何如？	Có người nói rằng: “Lấy ân huệ báo lại oán thù, như thế được chăng?”.
子曰：何以報德？	Đức Khổng Tử nói: “Lấy gì báo lại ân huệ?
以直報怨，以德報德。	Lấy công chính báo lại oán thù; lấy ân huệ báo lại ân huệ.”.
子曰：莫我知也夫！	Đức Khổng Tử nói: “Chẳng ai biết ta cả!”.
子貢曰：何為其莫知子也？	Tử Cống nói: “Sao lại nói chẳng ai biết thầy?”.
曰：不怨天，不尤人，下學而上達，知我者，其天乎！	Đức Khổng Tử nói: “Không oán trời, không trách người, học từ dưới thấp mà hướng lên cao, biết ta chỉ có Trời thôi!”.
公伯寮愬子路於季孫，子服景伯以告，曰：夫子固有惑志於公伯寮，吾力猶能肆諸市朝。	Công Bá Liêu nói gièm Tử Lộ với Quý Tôn. Tử Phục Cảnh Bá đem việc ấy đi báo, nói: “Ông ta có ý nghi ngờ vì Công Bá Liêu, sức tôi có thể bêu hắn ở chốn chợ búa hoặc triều đình.”.
子曰：道之將行也與，命也；道之將廢也與，命也。	Đức Khổng Tử nói: “Đạo thi hành được, mệnh vậy. Đạo bị bỏ đi, mệnh vậy.
公伯寮其如命何？	Công Bá Liêu làm sao bằng mệnh được?”.
子曰：賢者辟世，其次辟地，其次辟色，其次辟言。	Đức Khổng Tử nói: “Người tài đức thì xa lánh đời, bậc tiếp theo là xa lánh nơi ở, bậc tiếp nữa là xa lánh hình sắc, bậc tiếp nữa là xa lánh lời nói.”.
