大南寔錄/大南正編列傳初集/卷01。	QUYỂN 1.
	Việc ấy tâu lên, vua triệu về, và lấy mất quân.
	Năm Kỷ Mùi, trả lại chức làm Chánh thống hữu đồn quân Thần sách, theo vua đi đánh Quy Nhơn, quân đóng ở Tân Quan, Phúc đóng ở Bình Đê, Lê Văn Duyệt đóng ở Sa Lung, cùng nương tựa nhau chặn đường tiếp viện của giặc, tướng giặc là Vũ Văn Dũng ngầm đem quân từ Hôn Cốc xuống Thạch mưu đánh úp Tân Quan, ban đêm sang qua khe nhỏ có con nai chạy ra phía trước, quân tiền đạo của giặc trông thấy, hô lên nai nai, quân giặc hốt hoảng hô truyền nhau rằng: Quân Đồng Nai, quân Đồng Nai rồi chạy tán loạn, bị hãm ở Khanh Cốc.
	Phúc biết giặc ban đêm kinh sợ tự đem vài trăm quân thừa cơ đến tiến đánh; giặc tan vỡ, đuổi chém được rất nhiều, lấy được mũ mo cau và khí giới không kể xiết.
	Trận này, Phúc biết lấy ít địch nhiều, vua khen ngợi bảo rằng: Làm tướng phải như thế, thưởng cho 3.000 quan tiền.
	Năm Canh Thân được thăng làm Đô thống chế trung doanh quân Thần sách.
	Vua đi cứu viện Bình Định, Phúc theo Nguyễn Văn Thành đánh phá giặc ở Thị Dã; lại đánh giặc ở 2 đồn Trúc Dã, An Tượng, liền lấy được.
	Năm Tân Dậu, trận đánh ở Thi Nại, Phúc xin đi, vua theo lời Nguyễn Đức Xuyên, không cho, rồi sai Duyệt.
	Việc ấy chép ở truyện của Xuyên.
	Phúc đóng ở Kiền Dương, bị tướng giặc là Từ Văn Chiêu đánh úp, Vệ úy Trần Văn Xung chết ở trận, Phúc giận đem quân tiến đến Thạch Cốc, gặp quân mai phục, Vệ úy là bọn Hoàng Phúc Bảo, Hoàng Văn Từ đều chết trận.
	Phúc sợ hãi xin chịu tội.
	Vua tha cho.
	Gặp lúc Tham đốc giặc là Phạm Văn Điềm xâm phạm đồn An Mỹ (thuộc Phú Yên), Phúc cùng Nguyễn Đức Xuyên, theo Nguyễn Văn Trương chia đóng đường hiểm yếu để phòng giặc xâm chiếm.
	Mùa hạ, năm ấy, đại binh tiến đánh Phú Xuân, Phúc cùng Tham tri Trần Văn Trạc, đóng giữ Quảng Nam.
	Cựu kinh đã lấy lại được, Phúc cùng Lê Văn Duyệt vào tiếp viện Bình Định, đến Quảng Ngãi đánh bại được giặc, bắt được Đô đốc giặc là Nguyễn Văn Khôn, Tham đốc giặc là Hồ Văn Tự ở Trà Khúc, và bắt được hơn 3.000 người.
	Phúc vốn ghét người Bình Định, kiên tâm theo giặc, bảo rằng: Ta nếu đánh được Bình Định phải làm cỏ sạch, không để sót mống nào, mới sang đò Tân Quan, thừa thắng tiến đến Bức Cốc, tướng hiệu ngăn rằng: Quân ít khinh thường tiến đi, gặp địch thì làm thế nào?
	Phúc bảo rằng: Nếu gặp giặc, ta lập tức lên núi đi, chúng làm được ta.
	Bỗng quân mai phục của giặc Từ Văn Chiêu liền nổi dậy, Phúc chống đánh không địch nổi, bèn bị hại.
	Khi trước, Chiêu về hàng phục, từng giúp Phúc coi vệ Tuyển phong tiền.
	Phúc thườngắng nhiếc Chiêu là giặc đầu hàng, Chiêu vì thế để tâm giận, sau làm phản, về với giặc, Chiêu thường bị thua Phúc.
	Đến nay khinh thường tiến đi mới bị hại.
	Việc ấy tâu lên, vua thương tiếc vô cùng, tặng Thiếu bảo, tước Quận công, cho tên thụy là Trung Liệt.
	Đầu năm Gia Long, được thờ vào đền Bao trung ở Bình Định và đền Hiển trung ở Gia Định.
	năm thứ 6, định công theo sang Vọng Các và chết trận, được vào hàng thứ nhất, được cấp cho phu coi mộ.
	Năm thứ 9, được bày thờ vào miếu Trung hưng công thần.
	Phúc cầm cương ngựa đi theo vua rất nhiều công lao, nhưng chỉ mạnh về đánh ở đồng rộng không có mưu kế gì khác, cho nên không đại thắng, thì đại bại.
	Khoảng năm Gia Long, bàn về lệ tập ấm theo sang Vọng Các, vua dụ thị thần rằng: Phúc tuy có công, nhưng hai lần để mất quân không phải là không tội, về tước ấm của con, việc ấy không nên cùng giống với các tướng.
	Con là Viết Trì được ấm thụ Kỵ đô úy.
	Khoảng năm Minh Mạng, làm quan đến trấn thủ Quảng Bình, sau vì có tội, phải cách chức, lại được trả lại chức, làm đến Vệ úy hữu dực doanh Vũ lâm, có tội nghị cách.
	Vua nghĩ đến công của Phúc, giáng làm Phi kỵ úy; chuẩn cho ở kinh được vào chầu thăm.
	Minh Mạng năm thứ 18, cho là Phúc ra trận bỏ mình tiết liệt rõ rệt, truy phong Ninh Giang quận công; Viết Trì được tập phong Ninh Giang bá.
	Người huyện Phong Điền, phủ Thừa Thiên, lúc đầu theo cha là Nguyên vào Gia Định.
	Khiêm tuổi 18 tính thuần cẩn, có sức mạnh, làm thuộc hạ Cai cơ Hoàng Văn Lịch.
	Đinh Dậu, Tây tặc vào cướp, vua đi ra Long Xuyên, Khiêm đi theo không kịp, lẻn ẩn vào thôn xóm.
	Năm Mậu Tuất, Thế Tổ Cao Hoàng đế đánh lấy lại được Gia Định, coi giữ việc nước.
	Khiêm lên yết kiến, được thăng đội trưởng.
	Năm Quý Sửu, trận ở Đông Tuyên quân ta bị thua; Khiêm bị giặc bắt được.
	Đến khi vua từ nước Xiêm về.
	Khiêm lén trốn theo Lê Văn Duyệt đến hành tại, lại theo sang Xiêm.
	Đến khi đánh lấy lại được Gia Định, được thăng Cai đội vệ Túc trực.
	Năm Giáp Dần, thăng Phó vệ úy Túc trực, theo Đông cung Cảnh trấn Diên Khánh.
	Năm Đinh Tỵ, Khiêm theo đi đánh Quảng Nam, vào cửa biển Đà Nẵng, Khiêm đem quân lên bộ, ban đêm nín lặng đến sát lũy giặc để đánh, lại cùng người Tây là Ô Ly Bi làm kế hỏa công đốt thuyền giặc.
	Năm Kỷ Mùi, Khiêm theo vua đi đánh Quy Nhơn, Khiêm đem vài chục chiếc thuyền quân đến cửa biển Mỹ Ý đánh phá quân giặc, đuổi đến Sa Kỳ rồi về.
	Năm Canh Thân, theo Nguyễn Văn Trương đón đánh Đô đốc giặc Lê Văn Hưng ở cửa biển Đề Di, lấy được thuyền lương, khí giới vô số.
	Năm Tân Dậu, theo Lê Văn Duyệt đốt phá thuyền giặc ở Thi Nại.
	Mùa hạ năm ấy, theo vua đi đánh lấy lại được Phú Xuân, được Đô thống chế vệ Túc trực quân Thần sách.
	Gia Long năm thứ nhất, vua đem cả quân đi đánh ngoài Bắc, Khiêm cùng tham tri Nguyễn Đăng Hựu, theo Quốc thúc công là Tôn Thất Thăng ở lại giữ kinh thành.
	Mùa thu năm ấy, phụng chiếu sửa nhà Thái miếu.
	thứ 2, có việc bang giao vua đi Bắc tuần, lại cùng Quận công Phạm Văn Nhân ở lại giữ kinh thành, sau được triệu đến hành tại Thăng Long.
	Năm thứ 3, lễ bang giao xong Khiêm đi hộ giá về kinh, xây dựng miếu, xã, cung điện, hoàng thành, Khiêm đều dự coi công việc.
	Mùa đông năm ấy, Khiêm trông coi đúc 9 cỗ súng lớn.
	Mùa đông năm thứ 5, Khiêm đổi bổ Đô thống chế vệ Thị trung.
	Năm thứ 11, kính gặp lễ ninh lăng Hiếu Khang Hoàng hậu, Khiêm sung làm Phù lễ sứ.
	Năm thứ 13, Khiêm ốm chết, tuổi 56, được tặng Thiếu bảo quận công, cho tên thụy là Trung Cẩn, ban cho gấm tàu và tiền, sai quan dự tế.
	Minh Mạng năm đầu, được bày thờ vào miếu Trung hưng công thần, cấp cho ruộng tự điền và cấp cho phu coi mộ.
	Khiêm giữ tính trung thành, cầm cương ngựa theo hầu vua nếm trải gian hiểm, từng coi quân cấm vệ, lấy trung hậu thật thà tự xét, nhiều người ngợi khen.
	Con là Thường Tuân được ấm thụ Kiêu kỵ đô úy, lấy công chúa, làm quan Phò mã đô úy.
	Hồ Văn Lân Người huyện Kiến Lăng, tỉnh Định Tường, lúc đầu làm quan Cai cơ.
	Năm Đinh Dậu, Thế Tổ Cao Hoàng đế đem quân đi đánh ở Long Xuyên, Lân cùng Dương Công Trừng đều đem quân hội đánh phá quân giặc ở Long Hồ, rồi tiến quân đánh được Sài Gòn.
	Năm Kỷ Hợi, Lân cùng Đỗ Thanh Nhân đánh nước Chân Lạp, bắt được Nặc Vinh đem giết, lập con Vinh là Nặc làm vua, để Lân ở lại bảo hộ, gặp nước Xiêm là Chất Tri xâm lấn nước Chân Lạp, Lân cùng Chưởng cơ là Nguyễn Hữu Thụy đem quân chống đánh rồi cùng Chất Tri giảng hòa.
	Năm Nhâm Dần, Tây tặc vào cướp, vua đi ra ngoài, Lân thu họp quân còn lại đánh Đô đốc giặc là Nguyễn Loan ở Long Hồ, được thắng, lại cùng Nguyễn Văn Quý, Dương Công Trừng hội quân tiến đánh Lật Giang, thu được hơn 10 chiếc chiến thuyền, súng ống khí giới không biết bao nhiêu mà kể.
	Năm Quý Mão, được thăng Khâm sai chưởng cơ.
	Rồi giặc lại vào cướp, thuyền vua đi ra đảo Sĩ Châu.
	Mùa đông năm ấy, Lân đem quân đánh điệu bát của giặc là Nguyễn Kế Nhuận ở Tân Châu, lại cùng với Lưu thủ giặc là Nguyễn Hóa đánh nhau ở sông Cần Thơ, phá tan được, bắt được 13 chiếc thuyền hải đạo.
	Năm Giáp Thìn, Lân bèn đem bọn Cai cơ Hồ Văn Trương, Nguyễn Văn Biện, theo đường bộ Lô Việt chạy sang nước Xiêm.
	Năm Bính Ngọ, theo vua đi giúp nước Xiêm đánh nước Diến Điện ở Sài Nặc, phá tan được, rồi tiến đảo Trà Chiêm Năm Đinh Mùi, vua tự nước Xiêm về, Lân cùng Nguyễn Tiến Lượng về trước Kiên Giang, thu quân hội ở Mỹ Thanh Hoa, rồi đem quân đánh Đô đốc giặc là Nguyễn Văn Mân ở sông Thanh, Mân thua chạy.
	Năm Kỷ Dậu, Lân cùng Tôn Thất Hội, Nguyễn Văn Trương đánh Man làm phản ở Ba Thắc, dẹp yên được.
	Năm Canh Tuất, coi cơ hữu thủy, chuyển sang coi chi trung thuận doanh trung thủy.
	Năm Tân Hợi coi thuyền Hùng phi theo vua đi đánh giặc.
	Ất Mão, Lân cùng Tham tri bộ Hộ là Nguyễn Văn Mỹ đến Chân Lạp ban cho phiên vương Nặc ngọc ấn và phẩm vật.
	Lân nhân nói khoe quân ta đã lấy được Quy Nhơn, bọn giặc giải tán.
	Vua Phiên và quan Phiên giơ tay lên trán cùng chúc mừng.
	Vua nghe biết, bảo rằng, việc là việc quan trọng, đâu được khoe khoang hão huyền, sai bắt về trị tội lỡ lời.
	Năm Mậu Ngọ, dân nước Chân Lạp ở Hậu Giang thuộc Vĩnh Tấn đem việc dân kinh xâm chiếm vườn đất, kiện ở quan vua sai Lân hội đồng với cai bạ Phạm Ngọc Uẩn đi khám, chia vạch bờ cõi cho hết mối tranh.
	Gia Long năm thứ 3, Lân thăng Chưởng doanh.
	Năm thứ 4, xin cáo lão, vua ban cho 400 quan tiền, chuẩn cho mộ dân ngoại tịch 50 người làm thuộc binh.
	Mùa hạ năm thứ 13, Lân ốm chết, vua nghĩ Lân là trọng thần già cả, công lao, tặng Thiếu bảo, tước Quận công, cho tên thụy là Trung Thuận, ban cho 1000 quan tiền, sai quan dụ tế cấp cho phu coi mộ.
	Minh Mạng năm thứ nhất, được bày thờ vào miếu Trung hưng công thần.
	Lân không có con.
	Nguyễn Văn Nhàn Người huyện Vĩnh An, tỉnh An Giang, buổi đầu trung hưng từng theo đi đánh dẹp, làm quan đến Khâm sai tổng nhung cai cơ.
	Tây tặc vào cướp Sài Gòn, quân ta đánh nhau với giặc ở sông Tứ Kỳ, bị thua, Nhàn cùng với bọn Nguyễn Hữu Thụy, Trần Xuân Trạch, Cao Phúc Trí, mượn đường qua nước Chân Lạp sang nước Xiêm cầu viện.
	Bọn Trạch, Thụy bị người Chân Lạp hại; Nhàn cùng Trí được thoát, chạy sang Xiêm, từng theo sang ở Vọng Các.
	Năm Bính Ngọ, Nhàn cùng Trương Phúc Luật đến Giang Khảm đóng chiến thuyền thập hiện.
	Mậu Thân, lấy lại được Gia Định, Nhàn cùng cai đội Tống Phúc Châu sang Xiêm báo tin thắng trận.
	Năm Canh Tuất, Nhàn coi cơ Tả thủy, được thăng chánh trưởng chi chi tả thuận.
	Mùa đông năm ấy, người Chân Lạp là Chiêu Chùy Biện nói với vua nước Xiêm bảo ta sửa soạn quân đúc súng, mưu muốn tính đánh nước Xiêm, vua nước Xiêm nghi ngờ, toan đem quân đến xâm chiếm.
	Vua biết tin, sai Nhàn cùng Nguyễn Tiến Lượng mang thư sang nước Xiêm nói là không có thể.
	Vua Xiêm được thư hổ thẹn, bèn bỏ việc ấy.
	Nhàn biện bác giỏi, mỗi khi có hỏi thăm nước Xiêm, thường được đi sứ, người nước Xiêm kính trọng.
	Năm Nhâm Tý, giặc Đồ Bà cướp Hà Tiên, Nhàn đem quân đánh đuổi được.
	Mùa xuân năm Giáp Dần, Nhàn coi doanh Hậu thủy, rồi đến Bắc Tầm Bôn ở Nam Vang, chọn mua trận.
	Đến lúc về thì chết, được tặng Chưởng cơ, được bày thờ vào 2 miếu Hiển trung và Trung hưng công thần.
	Nhàn không có con.
	Trí, người huyện Bình Dương, tỉnh Gia Định, theo Nhàn vào hầu vua ở Vọng Các.
	Đến khi về, từng theo đi đánh dẹp, làm quan đến Cai cơ.
	Đầu năm Gia Long, được thăng làm Thủ ngữ ở Kim Bồng; lại thăng Cai cơ vệ Tín uy.
	Năm thứ 16, làm danh sách công thần Vọng Các, bỏ sót mất tên.
	Minh Mạng năm thứ nhất, Trí dâng sớ trình bày công trạng, đại thần Nguyễn Văn Nhân tâu xin giúp, chuẩn cho 1 người con được tập ấm Thừa ân úy.
	Trương Phúc Luật Tiên tổ là người ở quý huyện, tỉnh Thanh Hoa, nhập tịch ở Gia Định.
	Lúc đầu theo vua sang Vọng Các, cùng với Hoàng Tiến Cảnh đóng chiến thuyền ở Giang Khảm.
	thu năm Đinh Mùi, dược thăng Khâm sai thuộc nội cai cơ, đến khi về Gia Định, thường có chiến công rõ rệt, chuyển làm Phó vệ úy tiền trực, rồi thăng Vệ úy, đổi bổ Vệ úy doanh Hổ uy, Vệ úy doanh Long vũ, kiêm quản các đội thuyền Tiểu sai, Bả cái, Nội mã, Tả mã, Hữu mã, Tiểu hầu, Bả lệnh; kiêm coi Tượng chính, cai quản đội Trường đà; trông coi cục đúc tiền.
	Luật là người chất phác, trọng hậu, mà đánh hăng hái, vua càng thân Mùa hạ năm Quý Sửu, vua thân đi đánh Quy Nhơn, Luật cai quản hơn 20 chiếc thuyền quân vệ Túc trực, Ban trực, tiến đến Thái Cấn đánh cướp được chiếc thuyền của giặc thừa thắng đến thẳng cửa biển Đại An đốt thủy trại giặc, rồi về.
