第一回宴桃园豪杰三结义斩黄巾英雄首立功 ||| HỒI 1 Tiệc vườn đào, anh hùng kết nghĩa; Chém Khăn Vàng, hào kiệt lập công
战不数合，瓒败走 ||| Bố gần đuổi kịp Toản thì ở bên rìa đường, bỗng có một tướng, mắt tròn trợn ngược, râu hùm vểnh lên vác một ngọn bát xà mâu, tế ngựa đến thét lên rằng: - Thằng ở ba họ kia đừng chạy nữa! Có Trương Phi người đất Yên đây! Lã Bố thấy thế bỏ Toản, đánh nhau với Trương Phi
吕布纵赤兔马赶来 ||| Trương Phi hăng hái cố đánh Lã Bố
那马日行千里，飞走如风 ||| Hai người đánh nhau được hơn năm mươi hiệp chưa rõ bên nào thua bên nào được
看看赶上，布举画戟望瓒后心便刺 ||| Quan Công đứng ngoài thấy thế cũng múa thanh long đao nặng tám mươi hai cân đến cùng đánh
傍边一将，圆睁环眼，倒竖虎须，挺丈八蛇矛，飞马大叫：“三姓家奴休走！燕人张飞在此！”吕布见了，弃了公孙瓒，便战张飞 ||| Ba con ngựa đứng dàn kiểu chữ đinh, đánh nhau được ba mươi hiệp nữa hai người cũng vẫn không hạ được Lã Bố
飞抖擞精神，酣战吕布 ||| Lưu Bị bấy giờ cũng cầm đôi gươm tế ngựa chạy vào đánh giúp
连斗五十余合，不分胜负 ||| Ba người vây tròn lấy Lã Bố đánh chẳng khác gì quân đèn cù
云长见了，把马一拍，舞八十二斤青龙偃月刀，来夹攻吕布 ||| Binh mã tám xứ ngây mặt ra trông
三匹马丁字儿厮杀 ||| Lã Bố cố sức chống đỡ không nổi, bèn nhắm giữa mặt Lưu Bị phóng vờ một ngọn kích
战到三十合，战不倒吕布 ||| Lưu Bị tránh được
刘玄德掣双股剑，骤黄鬃马，刺斜里也来助战 ||| Lã Bố mở góc của trận, cắp đao ngược kích, phi ngựa chạy về
这三个围住吕布 ||| Ba người thúc ngựa xấn vào; quân mã tám xứ đều reo ầm lên, xô cả ra đánh
转灯儿般厮杀 ||| Quân Lã Bố chạy về trên cửa Hổ Lao
八路人马，都看得呆了 ||| Ba người theo sau đuổi mãi
吕布架隔遮拦不定，看着玄德面上，虚刺一戟，玄德急闪 ||| Cổ nhân, có người làm bài ca kể chuyện Lưu Bị, Quan, Trương đánh Lã Bố rằng: Vận Hán đến Hoàn Linh suy thế, Vầng thái dương đã xế về đoài
吕布荡开阵角，倒拖画戟，飞马便回 ||| Gian thần Đổng Trác ra oai, Phế vua; Lưu Hiệp rụng rời thất kinh
三个那里肯舍，拍马赶来 ||| Hịch Tào Tháo truyền nhanh các trấn, Chư hầu cùng nổi giận dấy binh
八路军兵，喊声大震，一齐掩杀 ||| Bản Sơ thủ lãnh đồng minh, Thề nhau giúp Hán yên bình non sông
吕布军马望关上奔走；玄德、关、张随后赶来 ||| Kia Lã Bố anh hùng ai sánh, Khắp mọi người dũng mãnh nào bằng? Áo ngoài giáp bạc sáng choang, Đầu trên nhấp nhoáng mũ vàng ngù bông
古人曾有篇言语，单道着玄德、关、张三战吕布：“汉朝天数当桓灵，炎炎红日将西倾 ||| Mặt thú dữ trập trùng bảo đái, Cánh phượng bay phấp phới cấm bào
奸臣董卓废少帝，刘协懦弱魂梦惊 ||| Vó câu gió chạy ào ào, Kích hoa sáng quắc soi vào nước trong
曹操传檄告天下，诸侯奋怒皆兴兵 ||| Ra cửa ải tranh hùng ai dám? Các chư hầu thất đảm kinh hồn
议立袁绍作盟主，誓扶王室定太平 ||| Trương Phi nhảy vọt ra liền, Xà mâu một ngọn trận tiền gương uy; Vểnh râu hổ gầm ghì thét mắng, Xoe mắt tròn lóng lánh lân la
温侯吕布世无比，雄才四海夸英伟 ||| Đánh nhau mê mải chưa tha, Vân Trường nóng tiết nhảy ra xông vào
护躯银铠砌龙鳞，束发金冠簪雉尾 ||| Nhoáng màu tuyết, ngọn đao sắc nước, Áo chiến bào quắc thước màu hoa
参差宝带兽平吞，错落锦袍飞凤起 ||| Quỷ thần thét, tiếng ngựa ra, Căm căm khí tức, mắt hoa đỏ ngầu
龙驹跳踏起天风，画戟荧煌射秋水 ||| Huyền Đức cũng giục mau ngựa nhảy
出关搦战谁敢当？诸侯胆裂心惶惶 ||| Múa đôi gươm vùng vẫy ra oai
踊出燕人张冀德，手持蛇矛丈八枪 ||| Ba người vây bọc vòng ngoài; Kẻ đâm người đỡ liền tay không rời
虎须倒竖翻金线，环眼圆睁起电光 ||| Tiếng quát háo lay trời động đất, Sát khí bay cao ngất mây xanh, Ôn Hầu thế núng nhìn quanh, Quay đầu ngựa chạy về nhau núi nhà, Cán họa kích đảo đà tếch trước, Cờ ngũ hành xơ xác bướm bay
酣战未能分胜败，阵前恼起关云长 ||| Giật cương chạy rẽ đường mây, Hổ Lao trại ấy tọt ngay vào thành
青龙宝刀灿霜雪，鹦鹉战袍飞蛱蝶 ||| Ba người đuổi Lã Bố đến dưới cửa quan, trông thấy trên cửa quan có tàn lọng che, gió bay phấp phới, Trương Phi kêu to rằng: - Hẳn Đổng Trác ở đây rồi! Đuổi Lã Bố làm gì nữa, không bằng bắt thằng Đổng Trác mới thực là đào cây nhổ đến tận rễ
马蹄到处鬼神嚎，目前一怒应流血 ||| Vừa nói vừa tế ngựa lên cửa quan để bắt Đổng Trác
枭雄玄德掣双锋，抖擞天威施勇烈 ||| Thế mới thực là: Bắt giặc nên tìm tên đầu sỏ, Kỳ công lại phải đợi người tài
三人围绕战多时，遮拦架隔无休歇 ||| Chưa biết rồi chuyện ra làm sao, xem đến hồi sau mới rõ
第六回焚金阙董卓行凶匿玉玺孙坚背约 ||| HỒI 6 Đốt Kim Quyết, Đổng Trác làm càn; Giấu ngọc tỷ, Tôn Kiên trái ước
却说张飞拍马赶到关下，关上矢石如雨，不得进而回 ||| Trương Phi tế ngựa xấn vào cửa quan, nhưng tên và đá bắn xuống như mưa, không thể nào tiến vào được, phải quay ngựa trở về
八路诸侯，同请玄德、关、张贺功，使人去袁绍寨中报捷 ||| Chư hầu tám xứ cùng mời Lưu, Quan, Trương đến mừng công rồi sai người về trại Viên Thiệu báo tin mừng
绍遂移檄孙坚，令其进兵 ||| Thiệu bèn đưa tờ hịch đến Tôn Kiên bảo Kiên tiến binh
坚引程普、黄盖至袁术寨中相见 ||| Tôn Kiên liền đem Hoàng Cái, Trình Phổ, đến trại Viên Thuật, rồi cầm gậy vạch xuống đất nói rằng: - Đổng Trác với tôi thật không có thù hằn gì, nay tôi không nghĩ gì đến thân, xông pha mũi tên hòn đạn để trừ nó, trước vì nước nhà, sau để báo thù riêng cho nhà tướng quân (trỏ Viên Ngỗi), thế mà tướng quân nghe lời gièm pha, không phát lương cho tôi, để đến nỗi tôi bị thua, sao tướng quân đành lòng thế được? Thuật thấy vậy, sợ hãi không biết nói sao, bèn sai đem chém người gièm pha để tạ lỗi Tôn Kiên
忽人报坚曰：“关上有一将，乘马来寨中，要见将军 ||| Khi ấy bỗng có người đến báo với Kiên rằng: - Trên cửa ải có một tướng cưỡi ngựa đến trại, muốn vào hầu tướng quân
”坚辞袁术，归到本寨，唤来问时，乃董卓爱将李傕 ||| Kiên từ giã Thuật về trại, gọi hỏi ai, hóa ra viên tướng yêu của Đổng Trác, tên là Lý Thôi
坚曰：“汝来何为？”傕曰：“丞相所敬者，惟将军耳 ||| Kiên hỏi: - Mày lại đây làm gì? Lý Thôi nói: - Thừa tướng chỉ kính trọng tướng quân thôi! Nay thừa tướng muốn kết thân với tướng quân; thừa tướng có một cô con gái muốn gả cho con trai tướng quân
今特使傕来结亲：丞相有女，欲配将军之子 ||| Tôn Kiên nổi giận mắng rằng: - Đổng Trác là thằng nghịch thiên vô đạo, làm xã tắc nghiêng đổ, ta muốn giết cả chín họ nó đi để tạ thiên hạ, sao lại thèm kết thân với nó! Tao tha chém cho mày, mày về mau đem dâng cửa ải cho tao
”坚大怒，叱曰：“董卓逆天无道，荡覆王室，吾欲夷其九族，以谢天下，安肯与逆贼结亲耶！吾不斩汝，汝当速去，早早献关，饶你性命！倘若迟误，粉骨碎身！”李傕抱头鼠窜，回见董卓，说孙坚如此无礼 ||| Mau mau lên! Chậm thì tao băm xương ra bây giờ! Lý Thôi lủi thủi ra về, kể với Đổng Trác
卓怒，问李儒 ||| Trác giận lắm, bèn hỏi Lý Nho
儒曰：“温侯新败，兵无战心 ||| Nho nói: - Lã Ôn Hầu thua trận mới rồi, quân sĩ ngã lòng cả, không có bụng đánh nhau nữa
不若引兵回洛阳，迁帝于长安，以应童谣 ||| Nay nên kéo quân về Lạc Dương, đem vua sang Trường An, để ứng vào lời đồng giao mấy hôm nay nói rằng: Mé tây một nhà Hán, Mé đông một nhà Hán
近日街市童谣曰：西头一个汉，东头一个汉 ||| Hươu chạy về Trường An, Mới khỏi phải gặp nạn
鹿走入长安，方可无斯难 ||| "Mé tây một nhà Hán" nghĩa là: đức Cao Tổ ngày xưa đóng đô ở Trường An, truyền ngôi được mười hai vua
臣思此言‘西头一个汉’，乃应高祖旺于西都长安，传一十二帝；‘东头一个汉’，乃应光武旺于东都洛阳，今亦传一十二帝 ||| "Mé đông một nhà Hán" nghĩa là: Vua Quang Vũ đóng đô ở Lạc Dương, cũng truyền ngôi được mười hai vua
天运合回 ||| Thế là vận trời xoay vần
丞相迁回长安，方可无虞 ||| Nay thừa tướng lại lên thiên đô về Trường An, mới khỏi lo được
”卓大喜曰：“非汝言，吾实不悟 ||| Trác mừng nói rằng: - Ngươi không nói thì ta không biết! Trác bèn đem Lã Bố về Lạc Dương, rồi hội ngay các quan văn võ để bàn việc thiên đô
”遂引吕布星夜回洛阳，商议迁都 ||| Khi các quan đã đến đông, Trác nói rằng: - Nhà Hán ta ở Lạc Dương, hơn hai trăm năm nay, khi số đã hết
聚文武于朝堂，卓曰：“汉东都洛阳，二百余年，气数已衰 ||| Ta xem bây giờ vượng khí tụ ở Trường An
吾观旺气实在长安，吾欲奉驾西幸 ||| Vậy ta muốn rước vua về đó, các quan nên gấp rút sắm sửa hành trang
汝等各宜促装 ||| Tư đồ là Dương Bưu nói rằng: - Trường An bị tàn phá đã lâu rồi
”司徒杨彪曰：“关中残破零落 ||| Nay bỗng dưng ta bỏ cả tôn miếu, hoàng lăng mà đi sang đó, tôi sợ rằng thiên hạ kinh động, mà thiên hạ kinh động lên thì dễ, yên lại thì khó
今无故捐宗庙，弃皇陵，恐百姓惊动 ||| Xin thừa tướng hãy xét cho kỹ
天下动之至易，安之至难 ||| Trác giận mắng Dương Bưu: - Ngươi lại dám ngăn trở việc lớn nước nhà à? Thái úy là Hoàng Uyển cũng nói rằng: - Dương tư đồ nói thế phải đấy: Trước kia trong lúc Vương Mãng thoán nghịch, kế đến Canh Thủy, Xích Mi nổi loạn, Trường An bị đốt cháy thành ra tro sỏi
望丞相监察 ||| Vả lại nhân dân xiêu tán, trăm phần không còn một hai phần
”卓怒曰：“汝阻国家大计耶？”太尉黄琬曰：“杨司徒之言是也 ||| Tôi nghĩ không nên bỏ cả cung điện mà đi ra chỗ đất hoang ấy
往者王莽篡逆，更始赤眉之时，焚烧长安，尽为瓦砾之地；更兼人民流移，百无一二 ||| Trác nói: - Ở Lạc Dương đây trộm giặc nhiều lắm, nhân dân hoạn lạc, đi mất cả
今弃宫室而就荒地，非所宜也 ||| Trường An có núi Hào, núi Hàm hiểm trở; lại gần Lũng Hữu, đá gỗ và gạch ngói dễ kiếm, sửa sang cung thất, độ hơn một tháng thì xong, không ai được nói lôi thôi nữa! Tư đồ là Tuân Sảng lại can rằng: - Thừa tướng thiên đô đi thì thiên hạ tất sẽ nhiễu động ngay
”卓曰：“关东贼起，天下播乱 ||| Trác tức mình gắt rằng: - Ta vì thiên hạ mà lo việc thiên đô, có xá gì những đứa tiểu dân! Ngay hôm ấy Trác cách chức Dương Bưu, Hoàng Uyển, Tuân Sảng, giáng xuống làm thứ dân
长安有崤函之险；更近陇右，木石砖瓦，克日可办，宫室营造，不须月余 ||| Trác trở ra lên xe, thấy có hai người đứng trước vái, trông ra thì là thượng thư Chu Bật và hiệu úy Ngũ Quyền
汝等再休乱言 ||| Trác hỏi có việc gì
”司徒荀爽谏曰：“丞相若欲迁都，百姓骚动不宁矣 ||| Bật nói: - Chúng tôi nghe thừa tướng muốn thiên đô, nên lại can ngăn
”卓大怒曰：“吾为天下计，岂惜小民哉！”即日罢杨彪、黄琬、荀爽为庶民 ||| Trác giận nói: - Trước tao nghe hai chúng bay, dùng thằng Viên Thiệu cho nó làm quan, bây giờ nó làm phản
卓出上车，只见二人望车而揖，视之，乃尚书周毖、城门校尉伍琼也 ||| Thế ra nó với chúng bay cùng một đảng! Nói rồi Trác sai võ sĩ đem Chu Bật, Ngũ Quỳnh ra cửa phủ chém, rồi hạ lệnh thiên đô, hạn đến ngày hôm sau phải đi
卓问有何事，毖曰：“今闻丞相欲迁都长安，故来谏耳 ||| Lý Nho xui Đổng Trác: - Nay tiền lương thiếu thốn nhiều, ở Lạc Dương nhiều nhà giàu, ta nên tịch thu của cải, lấy phát lương cho quân
”卓大怒曰：“我始初听你两个，保用袁绍；今绍已反，是汝等一党！”叱武士推出都门斩首 ||| Phàm bao nhiêu môn hạ Viên Thiệu ngày trước, nên đem giết cả đi để lấy của, sẽ thu được vô số
遂下令迁都，限来日便行 ||| Trác lập tức sai năm nghìn quân thiết kỵ đi bắt cả những người giàu ở Lạc Dương, cả thảy mấy nghìn hộ, mỗi người cầm một lá cờ lên đầu, để bốn chữ "Phản thần nghịch đảng" rồi đem ra ngoài thành chém tuốt, bao nhiêu của cải lấy sạch
李傕、郭汜尽驱洛阳之民数百万口，前赴长安 ||| Lý Thôi, Quách Dĩ bắt hết cả dân Lạc Dương, ước mấy trăm vạn, đưa sang Trường An, cứ mỗi một toán dân lại cho một đội quân đi đàn áp, người chết ở dọc đường không biết bao nhiêu mà kể
每百姓一队，间军一队，互相拖押；死于沟壑者，不可胜数 ||| Lại cho quân sĩ đi hãm hiếp đàn bà con gái, cướp hết lương thực của dân, tiếng kêu khóc động trời chuyển đất
又纵军士淫人妻女，夺人粮食；啼哭之声，震动天地 ||| Người nào đi chậm, đằng sau có quân lính đốc thúc; quân lính cầm dao, giết người ngay ở giữa đường
卓临行，教诸门放火，焚烧居民房屋，并放火烧宗庙宫府 ||| Lúc Trác ra đi, sai phóng hỏa đốt cả cửa nhà dân chúng, và tôn miếu, cung phủ; Nam, Bắc hai cung, lửa khói mù mịt: Bao nhiêu cung cấm hóa ra tro cả
