第五回发矫诏诸镇应曹公破关兵三英战吕布	HỒI 5 Phát hiệu triệu, các trấn hưởng ứng Tào Công; Phá cửa quan, ba anh hùng đánh Lã Bố
今迟疑不进，大失天下之望。操窃耻之！”	Thế mà các ông dùng dằng mãi chẳng tiến quân, làm mất cả lòng mong đợi của thiên hạ, tôi lấy làm xấu hổ quá!
绍等无言可对。	Lũ Thiệu không ai nói câu gì.
既而席散，操见绍等各怀异心，料不能成事，自引军投扬州去了。	Một chốc tiệc tan. Tháo thấy lũ Thiệu mỗi người một bụng, nghĩ cũng không làm được việc lớn, bèn tự kéo quân về Dương Châu. Công Tôn Toản thấy tình cảnh thế, cũng chán.
公孙瓒谓玄德、关、张曰：“袁绍无能为也，久必有变。	Một bữa, Toản bảo với Lưu, Quan, Trương: - Tôi xem Viên Thiệu không làm nên được trò trống gì đâu. Ở lâu tất sinh biến.
吾等且归。”	Chi bằng chúng ta hãy về.
遂拔寨北行。	Bèn nhổ trại về phía bắc.
至平原，令玄德为平原相，自去守地养军。	Đi đến huyện Bình Nguyên, Toản sai Lưu Bị làm tướng ở đó, giữ lấy đất, nuôi lấy quân.
兖州太守刘岱，问东郡太守乔瑁借粮。	Thái thú Duyên Châu Lưu Đại, thiếu lương hỏi vay thái thú Đông Quận là Kiều Mạo.
瑁推辞不与，岱引军突入瑁营，杀死乔瑁，尽降其众。	Mạo không cho vay, Đại đem quân xông vào dinh Mạo, giết Mạo đi rồi thu phục quân sĩ và thu hết quân lương.
袁绍见众人各自分散，就领兵拔寨，离洛阳，投关东去了。	Viên Thiệu thấy chư hầu mỗi người đi một ngả, cũng rời Lạc Dương kéo quân về Quan Đông.
却说荆州刺史刘表，字景升，山阳高平人也，乃汉室宗亲；幼好结纳，与名士七人为友，时号“江夏八俊”。	Thứ sử kinh Châu là Lưu Biểu, bắt được thư của Viên Thiệu xin đem quân chẹn đường Tôn Kiên, liền sai ngay Khoái Việt và Sái Mạo dẫn một vạn quân ra đón đường đánh Kiên. Lưu Biểu, tên chữ là Cảnh Thăng, quê ở Cao Bình, đất Sơn Dương, cũng là tôn thân nhà Hán. Lúc còn nhỏ Biểu kết bạn với bảy danh sĩ, bấy giờ người ta gọi là "Giang hạ bát tuấn".
那七人：汝南陈翔，字仲麟；同郡范滂，字孟博；鲁国孔昱，字世元；渤海范康，字仲真，山阳檀敷，字文友；同郡张俭，字元节；南阳岑咥，字公孝。	Trong tám người ấy thì một người là Lưu Biểu, còn bảy người nữa là: 1) Trần Tường 2) Phạm Phang 3) Khổng Giực 4) Phạm Khang 5) Đàn Phu 6) Trương Kiệm 7) Sầm Hinh.
刘表与此七人为友；有延平人蒯良、蒯越，襄阳人蔡瑁为辅。	Biểu cùng với bảy người ấy kết làm bạn, nhưng ngoài ra còn có mấy người phù tá. Một là Khoái Lương, người ở Diên Bình, hai là Khoái Việt cũng người Diên Bình, ba là Sái Mạo người ở Tương Dương.
当时看了袁绍书，随令蒯越、蔡瑁引兵一万来截孙坚。坚军方到，蒯越将阵摆开，当先出马。	Khoái Việt, Sái Mạo dẫn một vạn quân ra chẹn đường. Tôn Kiên vừa đến đó, Khoái Việt bày trận rồi nhảy ngựa ra.
孙坚问曰：“蒯异度何故引兵截吾去路？”	Kiên thấy Việt, hỏi rằng: - Khoái Việt cớ sao chẹn đường ta?
越曰：“汝既为汉臣，如何私匿传国之宝？	Việt nói: - Ngươi đã làm tôi nhà Hán, sao được giấu ngọc tỷ truyền quốc?
可速留下，放汝归去！”坚大怒，命黄盖出战。	Đưa ngay ra đây, ta sẽ cho đi... Kiên tức lắm, sai ngay Hoằng Cái ra đánh.
蔡瑁舞刀来迎。	Sái Mạo múa dao lại địch.
斗到数合，盖挥鞭打瑁正中护心镜。	Được vài hiệp, Cái hoa ngọn roi, đánh trúng ngay miếng kính che ngực Mạo.
瑁拨回马走，孙坚乘势杀过界口。	Mạo quay đầu ngựa chạy. Kiên thừa thế đuổi đánh khỏi cửa ô.
山背后金鼓齐鸣、乃刘表亲自引军来到。	Lúc bấy giờ, ở trong núi bỗng thấy chiêng trống khua rầm lên. Thì ra Lưu Biểu vừa dẫn quân đến.
孙坚就马上施礼曰：“景升何故信袁绍之书，相逼邻郡？”	Kiên ngồi trên ngựa chào hỏi tử tế, rồi nói với Lưu Biểu rằng: - Ta với Cảnh Thăng là láng giềng với nhau. Sao Cảnh Thăng lại nỡ tin lời Viên Thiệu và xử tệ với ta vậy?
表曰：“汝匿传国玺，将欲反耶？”	Biểu nói: - Nhà ngươi giấu quốc bảo, muốn làm phản à?
坚曰：“吾若有此物，死于刀箭之下！”	Kiên lại thề: - Ta mà có của ấy ở trong mình, xin chết ở dưới mũi tên viên đạn.
表曰：“汝若要我听信，将随军行李，任我搜看。”	Biểu nói: - Muốn cho ta tin, nhà ngươi phải để cho ta khám cả đồ hành lý.
坚怒曰：“汝有何力，敢小觑我！”	Kiên nổi khùng, mắng Lưu Biểu rằng: - Tài sức mày thấm vào đâu, mà dám khinh tao!
方欲交兵，刘表便退。	Hai bên sắp sửa giao binh đánh nhau, Lưu Biểu lui ngay.
坚纵马赶去，两山后伏兵齐起，背后蔡瑁、蒯越赶来，将孙坚困在垓心。	Kiên thấy vậy thả ngựa sấn lại. Bấy giờ quân phục ở sau hai rặng núi kéo ồ ra; sau lưng Khoái Việt, Sái Mạo ập lại, vây bọc lấy Tôn Kiên ở giữa trận.
正是：玉玺得来无用处，反因此宝动刀兵。	Thế rõ thực là: Ngọc tỷ đem về không dùng được. Lại vì của ấy động binh đao.
毕竟孙坚怎地脱身，且听下文分解。	Chưa biết Tôn Kiên làm thế nào mà thoát được, xem hồi sau sẽ rõ.
第七回袁绍磐河战公孙孙坚跨江击刘表	HỒI 7 Viên Thiệu qua cầu đánh Công Tôn; Tôn Kiên sang sông đá Lưu Biểu.
却说孙坚被刘表围住，亏得程普、黄盖、韩当三将死救得脱，折兵大半，夺路引兵回江东。自此孙坚与刘表结怨。	Tôn Kiên bị Lưu Biểu vây lại, đã tưởng chết, may đâu lại có Trình Phổ, Hoàng Cái, Hàn Dương, ba tướng cố sức cứu được thoát nạn, nhưng quân sĩ mất già nửa. Kiên kéo quân về Giang Đông, từ đấy Kiên với Biểu thù nhau.
且说袁绍屯兵河内，缺少粮草。	Đây nói chuyện Viên Thiệu kéo quân về đóng ở Hà Nội, lương thảo túng thiếu.
冀州牧韩馥，遣人送粮以资军用。	Quan mục Ký Châu là Hán Phức thấy vậy sai người đưa lương đến giúp để nuôi quân.
谋士逢纪说绍曰：“大丈夫纵横天下，何待人送粮为食！	Mưu sĩ Thiệu tên là Phùng Kỷ bảo với Thiệu rằng: - Đại trượng phu tung hoành thiên hạ, cần chi phải đợi người giúp lương.
冀州乃钱粮广盛之地，将军何不取之？”	Ký Châu là đất giàu, lắm lương tướng quân lấy quách đi có được không?
绍曰：“未有良策。”	Thiệu nói: - Ta cũng muốn lắm, nhưng chưa nghĩ được kế gì.
纪曰：“可暗使人驰书与公孙瓒，令进兵取冀州，约以夹攻，瓒必兴兵。	Kỷ nói: - Nay tướng quân lên mặt sai người đưa thư cho Công Tôn Toản, bảo y tiến binh lấy Ký Châu, tướng quân hẹn với Toản rằng hai bên cùng đánh. Toản tất thể nào cũng tiến binh.
韩馥无谋之辈，必请将军领州事；就中取事，唾手可得。”	Hàn Phức là đức vô mưu, tất sẽ mời tướng quân đến coi đỡ việc châu. Tướng quân thừa dịp ấy mà lấy Ký Châu thì việc dễ như trở bàn tay.
绍大喜，即发书到瓒处。	Thiệu mừng lắm, viết ngay thư cho Công Tôn Toản.
瓒得书，见说共攻冀州，平分其地，大喜，即日兴兵。	Toản xem thấy thư Viên Thiệu bàn cùng đánh lấy Ký Châu rồi chia đôi đất, mừng lắm. Ngay hôm ấy Toản khởi hành.
绍却使人密报韩馥。	Thiệu sai người mật báo cho Hàn Phức biết.
馥慌聚荀谌、辛评二谋士商议。	Phức bèn gọi hai mưu sĩ tên là Tuân Thầm và Tân Bình để bàn.
谌曰：“公孙瓒将燕、代之众，长驱而来，其锋不可当。	Thầm nói: - Công Tôn Toản đem quân nước Yên, nước Đại kéo lại đông lắm, thế mình không đương nổi.
兼有刘备、关、张助之，难以抵敌。	Vả Toản có Lưu Bị, Quan Vũ, Trương Phi giúp đỡ, ta địch sao được?
今袁本初智勇过人，手下名将极广，将军可请彼同治州事，彼必厚待将军，无患公孙瓒矣。”	Nay Viên Thiệu trí dũng hơn người, thủ hạ nhiều, danh tướng lắm, tướng quân nên mời Viên Thiệu lại để cùng coi việc châu. Tôi chắc Thiệu sẽ hậu đãi, tướng quân sợ gì Công Tôn Toản nữa.
韩馥即差别驾关纯去请袁绍。	Phức liền sai biệt giả tên là Quan Thuần sang mời Viên Thiệu.
长史耿武谏曰：“袁绍孤客穷军，仰我鼻息，譬如婴儿在股掌之上，绝其乳哺，立可饿死。奈何欲以州事委之？此引虎入羊群也。”	Trưởng sử là Cảnh Vũ can rằng: - Viên Thiệu bây giờ đương thân cô, thế cùng, chỉ trông nhờ vào ta, ví như đứa trẻ con ở trên bàn tay không cho bú mớm thì chết ngay, nay lại đem châu quận của mình mà trao cho nó, thì có khác gì đưa con cọp vào giữa đàn dê!
馥曰：“吾乃袁氏之故吏，才能又不如本初。	Phức nói: - Ta cũng là đấy tớ cũ họ Viên, tài ta lại kém Thiệu.
古者择贤者而让之，诸君何嫉妒耶？”	Người ngày xưa từng chọn người hiền để nhường ngôi, sao các ngươi bây giờ hay ghen ghét thế?
耿武叹曰：“冀州休矣！”	Cảnh Vũ than rằng: - Ký Châu hỏng mất!
于是弃职而去者三十余人。	Vì việc đó có hơn ba mươi người bỏ chức mà đi.
独耿武与关纯伏于城外，以待袁绍。	Cảnh Vũ với Quan Thuần, hai người rủ nhau ra phục ở ngoài cửa thành để đợi Viên Thiệu đến.
数日后，绍引兵至。	Sau vài hôm, Viên Thiệu kéo quân lại.
耿武、关纯拔刀而出，欲刺杀绍。	Cảnh Vũ, Quan Thuần rút dao, nhảy ra chực đâm Viên Thiệu.
绍将颜良立斩耿武，文丑砍死关纯。	Tướng Thiệu là Nhan Lương chém chết Cảnh Vũ; Văn Sú chém chết Quan Thuần.
绍入冀州，以馥为奋威将军，以田丰、沮授、许攸、逢纪分掌州事，尽夺韩馥之权。	Thiệu vào Ký Châu, cho Phức làm phấn uy tướng quân, rồi cho Điền Phong, Thư Thụ, Hứa Du và Phùng Kỷ chia tay nhau ra giữ việc trong châu, đoạt cả quyền của Hàn Phức.
馥懊悔无及，遂弃下家小，匹马往投陈留太守张邈去了。	Phức bấy giờ hối cũng không kịp nữa bực mình bỏ cả nhà cửa vợ con, sang với thái thú Trần Lưu là Trương Mạc.
却说公孙瓒知袁绍已据冀州，遣弟公孙越来见绍，欲分其地。	Công Tôn Toản thấy Thiệu được Ký Châu, liền sai em là Công Tôn Việt đến thăm Thiệu và giục Thiệu chia đất theo như lời đã ước với nhau.
绍曰：“可请汝兄自来，吾有商议。”	Thiệu bảo Việt: - Về mời anh ngươi lại đây, ta sẽ nói chuyện.
越辞归。行不到五十里，道旁闪出一彪军马，口称：“我乃董丞相家将也！”	Việt về, đi chưa được năm mươi dặm, bỗng gặp một cánh quân mã ở cạnh đường xông ra, nói rằng: - Ta là gia tướng của Đổng thừa tướng đây!
乱箭射死公孙越。	Rồi tên bắn ra tua tủa. Việt bị thương chết.
从人逃回见公孙瓒，报越已死。	Thủ hạ trốn được về báo với Công Tôn Toản.
瓒大怒曰：“袁绍诱我起兵攻韩馥，他却就里取事；今又诈董卓兵射死吾弟，此冤如何不报！”	Toản tức lắm, nói rằng: - Viên Thiệu nhủ ta đem binh đến đánh Hàn Phức, chẳng qua là dụng mưu lừa dối ta. Nay lại giả trá là quân Đổng Trác để giết em ta, thù này thế nào ta cũng phải báo!
尽起本部兵，杀奔冀州来。	Nói rồi đem hết cả quân bản hậu kéo sang Ký Châu.
绍知瓒兵至，亦领军出。	Thiệu thấy Toản kéo quân đến cũng dẫn quân ra.
二军会于磐河之上：绍军于磐河桥东，瓒军于桥西。	Hai bên gặp nhau ở trên sông Bản Hà. Thiệu dàn quân bên đông cầu, Toản dàn quân bên tây cầu.
瓒立马桥上，大呼曰：“背义之徒，何敢卖我！”	Toản cưỡi ngựa đứng trên cầu, mắng to lên rằng: - Thằng bội nghĩa kia! Sao mày dám lừa tao?
绍亦策马至桥边，指瓒曰：“韩馥无才，愿让冀州于吾，与尔何干？”	Thiệu cũng thúc ngựa đến cạnh cầu, trỏ tay vào Toản nói rằng: - Hàn Phức hèn hạ, tự xin nhường Ký Châu cho tao, có việc gì đến mày?
瓒曰：“昔日以汝为忠义，推为盟主；今之所为，真狼心狗行之徒，有何面目立于世间！”	Toản lại nói: - Ngày trước tao tưởng mày là đứa có nhân nghĩa, bầu mày làm minh chủ. Bây giờ, xem những điều mày làm có khác gì chó má. Mày còn mặt mũi nào đứng trên cõi đời nữa?
袁绍大怒曰：“谁可擒之？”	Viên Thiệu giận lắm, thét rằng: - Ai vào lôi cổ nó ra đây cho ta?
言未毕，文丑策马挺枪，直杀上桥。	Thiệu nói chưa dứt lời thì Văn Sú vác giáo, thúc ngựa xông thẳng lên cầu.
公孙瓒就桥边与文丑交锋。	
战不到十余合，瓒抵挡不住，败阵而走。	Toản đánh nhau với Sú chưa được mười hiệp, thua chạy.
文丑乘势追赶。	Sú đuổi theo.
瓒走入阵中，文丑飞马径入中军，往来冲突。	Toản chạy vào trong trận. Sú cũng phi ngựa xông vào giữa đám quân.
瓒手下健将四员，一齐迎战；被文丑一枪，刺一将下马，三将俱走。	Thủ hạ Toản có bốn tướng giỏi, kéo ùa cả ra đánh với Văn Sú, Sú đâm trúng một người ngã ngựa, còn ba người kia đều chạy.
文丑直赶公孙瓒出阵后，瓒望山谷而逃。	Sú đuổi Toản chạy ra đằng sau trận, Toản nhìn vào một cái hang núi toan chạy trốn vào đó.
文丑骤马厉声大叫：“快下马受降！”	Sú thúc ngựa quát lên rằng: - Mau xuống ngựa hàng đi!
瓒弓箭尽落，头盔堕地；披发纵马，奔转山坡；其马前失，瓒翻身落于坡下。	Toản cung tên rơi mất cả, mũ lăn xuống đất, đầu tóc tả tơi, phi ngựa chạy quanh rặng núi. Chẳng may ngựa vấp quỵ hai chân trước. Toản cũng ngã quay xuống dưới bờ núi.
