第四十一回刘玄德携民渡江赵子龙单骑救主	HỒI 41 Lưu Huyền Đức đưa dân qua sông; Triệu Tử Long một ngựa cứu chúa.
昔高皇数败于项羽，而垓下一战成功，此非韩信之良谋乎？	Ngày xưa vua Cao Tổ luôn thua Hạng Vũ, sau chỉ một trận ở Cái Hạ là thàng công; đó không phải là mẹo tài của Hàn Tín đó ư?
夫信久事高皇，未尝累胜。 盖国家大计，社稷安危，是有主谋。	Tín thờ Cao Tổ đã lâu cung không mấy khi tháng; bởi vì kế lớn nhà nước, xã tắc an nguy, đều đã có chủ trương.
非比夸辩之徒，虚誉欺人：坐议立谈，无人可及；临机应变，百无一能。 诚为天下笑耳！”	Không như cái lũ khoác lác hư danh, bịp bợm, ngồi một xó mà lý thuyết suông thì không ai bằng; đến lúc có việc thì trăm phần chẳng được phần nào, thật đáng để cho thiên hạ chê cười!
这一篇言语，说得张昭并无一言回答。	Bị thuyết một hồi, Trương Chiêu không còn thở ra được câu nào nữa.
座上忽一人抗声问曰：“今曹公兵屯百万，将列千员，龙骧虎视，平吞江夏，公以为何如？”	Lại có một người cất tiếng hỏi rằng: - Nay Tào Tháo quân hàng trăm vạn, tướng ước nghìn viên, uy thế như rồng hư hổ, nuốt chửng Giang Hạ, ông bảo làm sao?
孔明视之，乃虞翻也。	Khổng Minh trông xem ai, thì là Ngu Phiên.
孔明曰：“曹操收袁绍蚁聚之穷于夏口，区区求教于人，而犹言不惧，此真大言欺人也！”	Khổng Minh nói: - Tào Tháo thu quân rơm rác của Viên Thiệu, nhặt quân ô hợp của Lưu Biểu, dù đông mấy trăm vạn cũng không đáng sợ gì hết. Ngu Phiên cười mát: - Quân thua ở Đương Dương, kế cùng ở Hạ Khẩu, đi van xin cứu viện không xong, còn nói không sợ, thật là khoác lác để bịp người đó thôi!
孔明曰：“刘豫州以数千仁义之师，安能敌百万残暴之众？	Khổng Minh đáp: - Lưu Dự Châu đem vài nghìn quân nhân nghĩa địch sao được trăm vạn quân tàn bạo?
退守夏口，所以待时也。	Lui về giữ Hạ Khẩu là để chờ thời cơ đấy!
今江东兵精粮足，且有长江之险，犹欲使其主屈膝降贼，不顾天下耻笑。	Nay Giang Đông, binh tinh lương đủ, lại có sông Trường Giang hiểm trở, thế mà còn xui chủ uốn gối hàng giặc.
由此论之，刘豫州真不惧操贼者矣！”	Từ đó mà suy, thì Lưu Dự Châu thật không sợ gì giặc Tháo vậy!
虞翻不能对。	Ngu Phiên chịu cứng.
座间又一人问曰：“孔明欲效仪、秦之舌，游说东吴耶？”	Lại có một người lên tiếng hỏi: - Khổng Minh muốn uốn lưỡi Tô Tần, Trương Nghi sang làm thuyết khách ở Giang Đông nàychăng?
孔明视之，乃步骘也。 孔明曰：“步子山以苏秦张仪为辩士，不知苏秦、张仪亦豪杰也。	Khổng Minh nhìn xem ai thì là Bộ Trắc, bèn đáp rằng: - Bộ Tử Sơn chỉ biết Tô Tần, Trương Nghi là biện sĩ, chuyên nghề nói mép, chứ chưa biết Tô Tần, Trương Nghi cũng là những trang hào kiệt.
苏秦佩六国相印，张仪两次相秦，皆有匡扶人国之谋，非比畏强凌弱，惧刀避剑之人也。	Tô Tần đeo ấn làm tướng sáu nước, Trương Nghi hai lần làm tướng nhà Tần, đều có tài giúp gây nên cơ nghiệp, đâu thèm so sánh với những kẻ sợ thế mạnh, lấn người yếu, tránh kiếm, lẩn dao.
君等闻曹操虚发诈伪之词，便畏惧请降，敢笑苏秦、张仪乎？”	Các ngươi muốn nghe thấy Tào Tháo phao tin đã vội co vòi xin hàng rồi, còn dám cười Tô Tần, Trương Nghi sao được?
步骘默然无语。	Bộ Trắc im ngay, không dám nói gì nữa.
忽一人问曰：“孔明以曹操何如人也？”	Lại có một người hỏi rằng: - Thế Khổng Minh cho Tào Tháo là người thế nào?
孔明视其人，乃薛综也。 孔明答曰：“曹操乃汉贼也，又何必问？”	Khổng Minh nhìn xem ai, thì là Tiết Tung bèn đáp rằng: - Tào Tháo là giặc nhà Hán, can gì phải hỏi?
综曰：“公言差矣。	Tung nói: - Ông lầm rồi.
汉传世至今，天数将终。 今曹公已有天下三分之二，人皆归心。	Nhà Hán truyền ngôi kế thế mãi đến nay, số trời sắp hết, giờ đây, Tháo đã nắm được hai phần ba thiên hạ rồi, nhân tâm ai cũng quy phục cả.
刘豫州不识天时，强欲与争，正如以卵击石，安得不败乎？”	Duy chỉ có Lưu Dự Châu không biết thiên thời, muốn gượng tranh với Tháo, khác nào trứng chọi với đá, sao chẳng thất bại?
孔明厉声曰：“薛敬文安得出此无父无君之言乎！	Khổng Minh quát to lên rằng: - Tiết Kính Văn sao dám thở ra câu vô quân, vô phụ vậy?
夫人生天地间，以忠孝为立身之本。	Người ta sinh ra ở đời phải lấy trung hiếu làm cốt.
公既为汉臣，则见有不臣之人，当誓共戮之：臣之道也。	Ông đã làm tôi nhà Hán, nếu kẻ nào phản nghịch, phải thề giết nó đi, mới là phải đạo.
今曹操祖宗叨食汉禄，不思报效，反怀篡逆之心，天下之所共愤；公乃以天数归之，真无父无君之人也！	Nay tổ tôn Tào Tháo đời đời ăn lộc nhà Hán, Tháo đã không nghĩ báo ơn, lại mang lòng phản nghịch, thiên hạ đều oán ghét cả. Ông lại dám đổ cho số trời, thật là con người vô quân vô phụ, không xứng đáng bàn luận!
不足与语！ 请勿复言！”	Chớ có nói nữa!
薛综满面羞惭，不能对答。	Tiết Tung đỏ mày xay mặt, câm như miệng hên.
座上又一人应声问曰：“曹操虽挟天子以令诸侯，犹是相国曹参之后。	Lại một nười hỏi rằng: - Tào Tháo tuy rằng mượn tiếng thiên tử để sai khiến chư hầu, nhưng cũng còn là con cháu ông tướng quốc Tào Tham ngày xưa.
刘豫州虽云中山靖王苗裔，却无可稽考，眼见只是织席贩屦之夫耳，何足与曹操抗衡哉！”	Lưu Dự Châu vẫn tự xưng là dòng dõi Trung sơn Tĩnh vương, nhưng không có bằng cờ nào; hiện mắt trông thấy chỉ là một người dệt chiếu, bán giầy, sánh với Tào Tháo sao được?
孔明视之，乃陆绩也。 孔明笑曰：“公非袁术座间怀桔之陆郎乎？	Khổng Minh nhìn xem ai, thì là Lưu Tích, liền cười nói rằng; - Ông có phải là người ăn cắp quít ở trong bữa tiệc của Viên Thiệu đó không?
请安坐，听吾一言：曹操既为曹相国之后，则世为汉臣矣；今乃专权肆横，欺凌君父，是不惟无君，亦且蔑祖，不惟汉室之乱臣，亦曹氏之贼子也。	Xin hãy ngồi nghe ta giảng giải cho: Tào Tháo đã là con cháu tướng quốc họ Tào, thì là đời đời làm tôi nhà Hán, nay dám chuyên quyền ngang ngược, khinh nhờn cả vua; như thế hắn không những là vô quân mà lại là khinh cả tổ tiên mình; không những là loạn thần nhà Hán, mà còn là đứa con bất hiếu của họ Tào nữa.
刘豫州堂堂帝胄，当今皇帝，按谱赐爵，何云无可稽考？	Lưu Dự Châu đường đường một đấng tôn thất, đương kim Hoàng Đếhiện đã xét gia phả và phong tước cho, sao dám bảo là không có căn cứ?
且高祖起身亭长，而终有天下；织席贩屦，又何足为辱乎？	Vả đức Cao Tổ ngày xưa, xuất thân làm đình trưởng, mà sau được thiên hạ, thì dệt chiếu, bán giầy có gì là nhục?
公小儿之见，不足与高士共语！”	Kiến thức ông như trẻ con, không nên ngồi nói chuyện với cao sĩ.
陆绩语塞。	Lục Tích ngồi im thin thít.
座上一人忽曰：“孔明所言，皆强词夺理，均非正论，不必再言。 且请问孔明治何经典？”	Lại một người hỏi rằng: - Khổng Minh chỉ được cái già mồm lý lẽ, không phải là chính luận; không cần dài dòng làm gì nữa, hãy xin hỏi Khổng Minh đã học được những sách gì?
孔明视之，乃严酸也。 孔明曰：“寻章摘句，世之腐儒也，何能兴邦立事？	Khổng Minh nhìn xem thì là Nghiêm Tuấn, liền đáp: - Tìm từng chương, dò từng câu, chỉ là bọn hủ nho mà thôi, sao có xây dựng được nước non cơ nghiệp?
且古耕莘伊尹，钓渭子牙，张良、陈平之流。 邓禹、耿弇之辈，皆有匡扶宇宙之才，未审其生平治何经典。	Vả như ngày xưa Y Doãn cày ở đất Sàn, Tử Nha câu trên sông Vi, Trương Lương, Trần Bình, Đặng Vũ, Cánh Cam, đều có tài giúp nước cả, mà cũng không cần xét xem ngày thường học những sách vở gì!
岂亦效书生，区区于笔砚之间，数黑论黄，舞文弄墨而已乎？”	Có đâu lại bắt chước bọn thư sinh, bo bo sách vở, cái đen trắng, múa văn khua bút đó ư?
严峻低头丧气而不能对。	Nghiêm Tuấn cúi đầu tiu nghỉu ngồi im.
忽又一人大声曰：“公好为大言，未必真有实学，恐适为儒者所笑耳。”	Lại một người lớn tiếng hỏi: - Ông chỉ được việc nói khoác là giỏi, vị tất đã có thực học, tôi chỉ sợ bọn nhà nho cười cho thôi.
孔明视其人，乃汝南程德枢也。 孔明答曰：“儒有君子小人之别。	Khổng Minh nhìn xem thì là Trình Đức Khu ở Nhữ Nam, liền đáp: - Nho cũng có nho quân tử, cũng có nho tiểu nhân.
君子之儒，忠君爱国，守正恶邪，务使泽及当时，名留后世。	Nho quân tử thì trung vua yêu nước, giữ chính ghét tà, chuyên làm những điều ích lợi chung, tiếng để đời sau.
若夫小人之儒，惟务雕虫，专工翰墨，青春作赋，皓首穷经；笔下虽有千言，胸中实无一策。	Còn như loại tiểu nhân thì chỉ gọt dũa văn chương, miệt mài nghiên bút; còn trẻ làm phú đầu bạc đọc kinh, dưới bút dẫu có nghìn lời, trong bụng không được một mẹo.
且如杨雄以文章名世，而屈身事莽，不免投阁而死，此所谓小人之儒也；虽日赋万言，亦何取哉！”	Xem như Dương Hùng văn chương có tiếng một đời, mà phải hạ mình đi thờ Vương Mãng rồi cũng đến đâm đầu xuống lầu mà chết. Thế gọi là nho tiểu nhân, dẫu ngày làm hạng vạn câu thơ, cũng có ích gì đâu!
程德枢不能对。	Trình Đức Khu cũng ứ cổ nốt.
众人见孔明对答如流，尽皆失色。	Các tướng thấy Khổng Minh ứng đối như nước chảy, ai cũng sợ mất vía.
时座上张温、骆统二人，又欲问难。	Lúc đó, còn có hai người là Trương Ôn, Lạc Thống sắp sửa muốn hỏi.
忽一人自外而入，厉声言曰：“孔明乃当世奇才，君等以唇舌相难，非敬客之礼也。	Bỗng bên ngoài có một người chạy vào quát to lên rằng: - Khổng Minh là bậc kỳ tài đời nay, các ngươi lấy môi mép vặn người ta, đó không phải kính trọng khách.
曹操大军临境，不思退敌之策，乃徒斗口耶！”	Đại quân của Tào Tháo đã đến bờ cõi, tìm kế chống giặc chẳng tìm, cứ ngồi đấu khẩu như thế ích gì?
众视其人，乃零陵人，姓黄，名盖，字公覆，现为东吴粮官。	Các tướng nhìn xem ai, thì là Hoàng Cái, tự là Công Phúc, người Linh Lăng, hiện đương làm quan coi lương ở Đông Ngô.
当时黄盖谓孔明曰：“愚闻多言获利，不如默而无言。	Lúc ấy Hoàng Cái bảo Khổng Minh rằng: - Tôi nghe "Nói nhiều dù được lợi, cũng không bằng ngồi im không nói".
何不将金石之论为我主言之，乃与众人辩论也？”	Sao ông không đem lời vàng đá ra mà nói với chủ tôi, đâu lại thừa hơi mà cãi vã với họ làm gì?
孔明曰：“诸君不知世务，互相问难，不容不答耳。”	Khổng Minh đáp: - Các ông ấy không biết việc đời mà hỏi, chẳng lẽ không nói.
于是黄盖与鲁肃引孔明入。 至中门，正遇诸葛瑾，孔明施礼。	Hoàng Cái, Lỗ Túc dẫn Khổng Minh vào đến cửa giữa gặp Gia Cát Cẩn.
瑾曰：“贤弟既到江东，如何不来见我？”	Khổng Minh chào hỏi, Cẩn nói: - Hiền đệ đã sang Giang Đông, sao không lại thăm ta?
孔明曰：“弟既事刘豫州，理宜先公后私。	Khổng Minh đáp: - Em đã thờ Lưu Dự Châu, nên phải đặt viêc công lên trước, rồi sau mới tới việc tư.
公事未毕，不敢及私。 望兄见谅。”	Việc công chưa xong, nên chưa dám đến, xin anh tha thứ cho.
瑾曰：“贤弟见过吴侯，却来叙话。”	Cẩn nói: - Hiền đệ vào yết kiến Ngô hầu xong, rồi đến chỗ ta nói chuyện.
说罢自去。	Nói đoạn, đi thẳng.
鲁肃曰：“适间所嘱，不可有误。”	Lỗ Túc nói: - Mới rồi tôi dặn những điều gì, không nên quên đấy.
孔明点头应诺。	Khổng Minh gật đầu xin vâng.
引至堂上，孙权降阶而迎，优礼相待。	Hai người lên đến thềm chào hỏi tử tế. Tôn Quyền xuống đón, đãi rất tử tế.
施礼毕，赐孔明坐。	Thi lễ xong, Quyền mời Khổng Minh ngồi.
众文武分两行而立。	Các quan văn võ đứng sắp hàng hai bên.
鲁肃立于孔明之侧，只看他讲话。	Lỗ Túc đứng bên cạnh Khổng Minh, chỉ đợi xem Khổng Minh nói với Quyền như thế nào.
孔明致玄德之意毕，偷眼看孙权：碧眼紫髯，堂堂一表。 孔明暗思：“此人相貌非常，只可激，不可说。 等他问时，用言激之便了。”	Khổng Minh giãi bày ý kiến Huyền Đức, rồi liếc mắt nom Tôn Quyền, thấy Quyền mắt biếc râu đỏ, tướng mạo đường bệ, liền nghĩ thầm rằng: - Người này tướng mạo khác thường, chỉ ưa nói khích chứ không ưa thuyết phục; đợi khi nào hỏi, bấy giờ ta sẽ khích cho mấy câu là hơn!
