第八十一回急兄仇张飞遇害雪弟恨先主兴兵	HỒI 81 Vội báo thù, Trương Phi bị hại; Mong rửa hận, tiên chủ cất quân
先主曰：“朕亦颇知兵法，何必又问丞相？”	Tiên chủ nói: - Trẫm cũng đã biết binh pháp, can gì phải hỏi đến thừa tướng nữa!
良曰：“古云兼听则明，偏听则蔽。	Lương nói: - Từ xưa có câu: "Chịu nghe người thì sáng, chỉ cậy một mình thì tối".
望陛下察之。”	Xin bệ hạ phải xét mới được.
先主曰：“卿可自去各营，画成四至八道图本，亲到东川去向丞相。 如有不便，可急来报知。”	Tiên chủ nói: - Có phải thế, ngươi hãy đi vẽ địa đồ các trại, đem đến Thành Đô hỏi thừa tướng, phỏng có sai sót, nên về báo ngay cho biết.
马良领命而去。	Mã Lương lĩnh mệnh đi ra.
于是先主移兵于林木阴密处避暑。	Thế rồi tiên chủ dời cả quân vào các nơi cây cối mát mẻ để tránh nắng.
早有细作报知韩当、周泰。	Quân mật thám báo tin cho Hàn Đương, Chu Thái biết.
二人听得此事，大喜，来见陆逊曰：“目今蜀兵四十余营，皆移于山林密处，依溪傍涧，就水歇凉。 都督可乘虚击之。”	Hai người mừng lắm, lại ra mắt Lục Tốn, nói: - Hiện nay hơn bốn mươi dinh trại, quân Thục đã dời cả vào rừng rậm, men dựa khe suối, để tiện nước nôi và thêm mát mẻ, đô đốc nên thừa cơ đánh đi thôi.
正是：蜀主有谋能设伏，吴兵好勇定遭擒。	Đó là: Chúa Thục có mưu hay đặt phục, Tướng Ngô cậy khỏe suýt vào tròng!
未知陆逊可听其言否，且看下文分解。	Chưa biết Lục Tốn có nghe hay không, xem hồi sau sẽ hiểu.
第八十四回陆逊营烧七百里孔明巧布八阵图	HỒI 84 Lục Tốn đốt sạch trại liên doanh; Khổng Minh khéo bày đồ bát trận
却说韩当、周泰探知先主移营就凉，急来报知陆逊。	Nói về Hàn Đương, Chu Thái dò biết tiên chủ dời dinh trại, vội vàng lại báo với Lục Tốn.
逊大喜，遂引兵自来观看动静；只见平地一屯，不满万余人，大半皆是老弱之众，大书“先锋吴班”旗号。	Tốn mừng lắm, dẫn quân đến xem động tĩnh thế nào, chỉ thấy ở giữa cánh đồng có một đồn trại, ước chừng hơn một vạn quân canh giữ, mà phần nhiều già yếu cả, có một lá cờ hiệu to đề bốn chữ "Tiên phong Ngô Ban".
周泰曰：“吾视此等兵如儿戏耳。 愿同韩将军分两路击之。 如其不胜，甘当军令。”	Chu Thái nói: - Tôi coi đám quân kia như trò trẻ con đó thôi, xin cùng Hàn tướng quân chia binh thành hai đường ra đánh; nếu không thắng được xin chịu quân lệnh.
陆逊看了良久，以鞭指曰：“前面山谷中。 隐隐有杀气起；其下必有伏兵，故于平地设此弱兵，以诱我耳。 诸公切不可出。”	Lục Tốn ngắm xem hồi lâu, rồi trỏ roi nói: - Trong hang núi, về mé trước mặt kia, thấp thoáng có sát khí bốc lên, tất có quân mai phục; cho nên họ dàn quân già yếu ở đây để dử ta đó, các ông chớ nên ra.
众将听了，皆以为懦。	Các tướng không tin, cho Lục Tốn là nhát.
次日，吴班引兵到关前搦战，耀武扬威，辱骂不绝；多有解衣卸甲，赤身裸体，或睡或坐。	Hôm sau, Ngô Ban dẫn quân đến trước cửa ải khiêu chiến, diễu võ dương oai, chửi mắng om sòm. Nhiều người lại cởi cả áo giáp, mình trần trùng trục, có người nằm ngủ, có người ngồi chơi.
徐盛、丁奉入帐禀陆逊曰：“蜀兵欺我太甚！ 某等愿出击之！”	Từ Thịnh, Đinh Phụng vào trướng bẩm rằng: - Quân Thục khinh ta quá, chúng tôi xin ra đánh.
逊笑曰：“公等但恃血气之勇，未知孙、吴妙法，此彼诱敌之计也：三日后必见其诈矣。”	Tốn cười, nói: - Các ông chỉ cậy có sức khỏe, chưa biết diệu pháp Tôn, Ngô. Đó là mẹo dụ địch đấy, sau ba ngày sẽ thấy rõ là giả dối.
徐盛曰：“三日后，彼移营已定，安能击之乎？”	Từ Thịnh nói: - Đợi ba hôm nữa, doanh trại của họ vững vàng cả rồi, còn đánh làm sao được nữa?
逊曰：“吾正欲令彼移营也。”	Tốn nói: - Ta cốt muốn để cho họ dời trại xong.
诸将哂笑而退。	Các tướng cùng tủm tỉm cười, trở ra.
过三日后，会诸将于关上观望，见吴班兵已退去。	Sau ba hôm, hội cả các tướng ở trên ải đứng xem. Bấy giờ quân Ngô Ban đã rút hết rồi.
逊指曰：“杀气起矣。 刘备必从山谷中出也。”	Tốn trỏ tay nói: - Sát khí bốc lên kia, quân Lưu Bị tất từ trong núi kéo ra đó.
言未毕，只见蜀兵皆全装惯束，拥先主而过。	Vừa nói dứt lời, đã thấy quân Thục nai nịt gọn ghẽ, xúm xít vòng trong vòng ngoài, rước tiên chủ đi ra.
吴兵见了，尽皆胆裂。	Quân Ngô trông thấy ai nấy cũng hết vía.
逊曰：“吾之不听诸公击班者，正为此也。	Tốn nói: - Ta không nghe các ông đáùnh Ngô Ban là chỉ vì thế mà thôi.
今伏兵已出，旬日之内，必破蜀矣。”	Nay quân phục đã ra rồi, mười hôm nữa ta sẽ phá được quân Thục.
诸将皆曰：“破蜀当在初时，今连营五六百里，相守经七八月，其诸要害，皆已固守，安能破乎？”	Các tướng nói: - Phá Thục, nên phá ngay lúc mới đến; nay họ lập trại liên tiếp nhau năm sáu trăm dặm, giữ gìn hơn bảy tám tháng trời; bao nhiêu chỗ hiểm yếu đều vững vàng cả rồi, thì còn phá làm sao cho được?
逊曰：“诸公不知兵法。 备乃世之枭雄，更多智谋，其兵始集，法度精专；今守之久矣，不得我便，兵疲意阻，取之正在今日。”	Tốn nói: - Các ông không biết binh pháp, Lưu Bị là bậc kiêu hùng trong đời, lắm mưu nhiều trí. Khi quân mới tụ họp, phép tắc nghiêm chỉnh, nay giữ đã lâu rồi mà không thấy ta ra đánh, tất sinh trễ nải, ta phá được họ chính ở lúc này.
诸将方才叹服。	Các tướng mới chịu là phải.
后人有诗赞曰：“虎帐谈兵按六韬，安排香饵钓鲸鳌。	Đời sau có thơ khen Lục Tốn rằng: Trướng hầm bàn bạc việc binh đao, Móc sẵn mồi thơm giật cá ngao.
三分自是多英俊，又显江南陆逊高。”	Thao lược đua ganh trường tuấn kiệt, Mới hay Lục Tốn cũng anh hào!
却说陆逊已定了破蜀之策，遂修笺遣使奏闻孙权，言指日可以破蜀之意。	Lục Tốn định xong mưu mẹo phá Thục rồi, viết thư sai sứ về tâu với Tôn Quyền chỉ nay mai là phá xong quân giặc.
权览毕，大喜曰：“江东复有此异人，孤何忧哉！	Tôn Quyền xem xong, mừng hớn hở nói: - Giang Đông lại có người lạ như thế. Cô còn lo gì nữa!
诸将皆上书言其懦，孤独不信，今观其言，果非懦也。”	Các tướng cứ nói hắn hèn nhát, riêng Cô không tin. Nay xem mấy lời này, quả nhiên không phải là hèn nhát!
于是大起吴兵来接应。	Liền cất quân mã đến tiếp ứng.
却说先主于猇亭尽驱水军，顺流而下，沿江屯扎水寨，深入吴境。	Lại nói, tiên chủ đem hết cả thủy quân ở Hào Đình, thuận dòng xuôi xuống, cắm trại ven sông, vào sâu mãi bờ cõi nước Ngô.
黄权谏曰：“水军沿江而下，进则易，退则难。	Hoàng Quyền can rằng: - Thủy quân men bờ sông đi xuống, tiến lên thì dễ, lúc về thì khó.
臣愿为前驱。 陛下宜在后阵，庶万无一失。”	Tôi xin làm tiền khu đi trước, bệ hạ nên ở lại mặt sau thì mới chắc chắn muôn phần.
先主曰：“吴贼胆落，朕长驱大进，有何碍乎？”	Tiên chủ nói: - Giặc Ngô vỡ mật rồi, trẫm cứ kéo quân rầm rộ đến, còn có ngại gì?
众官苦谏，先主不从。	Các quan cố can mãi, tiên chủ cũng không nghe.
遂分兵两路：命黄权督江北之兵，以防魏寇；先主自督江南诸军，夹江分立营寨，以图进取。	Tiên chủ chia quân làm hai đường, sai Hoàng Quyền đốc cánh quân mặt Giang Bắc để phòng quân Ngụy; còn mình thì đốc các đạo quân mặt Giang Nam, chia lập dinh trại cạnh bờ sông để tính việc đánh Ngô.
细作探知，连夜报知魏主，言蜀兵伐吴，树栅连营，纵横七百余里，分四十余屯，皆傍山林下寨；今黄权督兵在江北岸，每日出哨百余里，不知何意。	Quân do thám báo tin về Ngụy chủ rằng quân Thục đánh Ngô, cắm trại liên tiếp nhau, ngang dọc hơn bảy trăm dặm, chia làm hơn bốn mươi đồn, đồn nào cũng dựa vào rừng núi. Lại sai Hoàng Quyền đốc quân mặt Giang Bắc, ngày nào cũng đi tuần tiễu hàng trăm dặm không biết là ý làm sao?
魏主闻之，仰面笑曰：“刘备将败矣！”	Ngụy chủ nghe tin, ngẩng mặt lên trời cười, nói: - Lưu Bị sắp thua mất!
群臣请问其故。	Quần thần hỏi cớ làm sao.
魏主曰：“刘玄德不晓兵法；岂有连营七百里，而可以拒敌者乎？	Ngụy chủ nói: - Lưu Huyền Đức không biết binh pháp; có lẽ đâu cắm trại liên tiếp bảy trăm dặm mà chống nhau được giặc bao giờ?
包原隰险阻屯兵者，此兵法之大忌也。	Bao bọc cả các nơi hiểm trở, chỗ cao chỗ thấp mà đóng đồn, đó là một điều tối kỵ trong phép dùng binh.
玄德必败于东吴陆逊之手，旬日之内，消息必至矣。”	Lưu Bị tất thua về tay Lục Tốn Đông Ngô! Chỉ trong mươi hôm nữa sẽ có tin tức.
群臣犹未信，皆请拨兵备之。	Quần thần chưa ai tin, xin điều quân ra phòng bị.
魏主曰：“陆逊若胜，必尽举吴兵去取西川；吴兵远去，国中空虚，朕虚托以兵助战，令三路一齐进兵，东吴唾手可取也。”	Ngụy chủ nói: - Lục Tốn nếu đánh được Thục, tất thừa thế vào lấy Tây Xuyên. Quân Ngô đi xa, trong lúc bỏ trống, trẫm giả đò dẫn quân đánh giúp, sai ba đạo quân nhất tề kéo cả sang, chắc lấy được Đông Ngô dễ như bỡn.
众皆拜服。	Mọi người đều bái phục.
魏主下令，使曹仁督一军出濡须，曹休督一军出洞口，曹真督一军出南郡：“三路军马会合日期，暗袭东吴。 朕随后自来接应。” 调遣已定。 不说魏兵袭吴。	Ngụy chủ bèn sai Tào Nhân đốc một đạo quân ra Nhu Tu, Tào Hưu đốc một đạo quân ra Đổng Khẩu, Tào Chân đốc một đạo quân ra Nam Quận, quân mã ba đường hẹn nhau sang úp lén Đông Ngô, còn mình tự dẫn quân đi sau tiếp ứng.
且说马良至川，入见孔明，呈上图本而言曰：“今移营夹江，横占七百里，下四十余屯，皆依溪傍涧，林木茂盛之处。	Hãy nói về Mã Lương đến Xuyên, vào ra mắt Khổng Minh trình bản địa đồ lên, nói: - Nay ta dời dinh trại vào đóng sát bờ sông, dài suốt bảy trăm dặm, lập hơn bốn mươi đồn, đều dựa vào chỗ có cây cối, khe suối.
皇上令良将图本来与丞相观之。”	Hoàng thượng sai tôi đem địa đồ về trình tướng quân xem thế nào?
孔明看讫，拍案叫苦曰：“是何人教主上如此下寨？	Khổng Minh xem xong, dập tay xuống án thư kêu rằng: - Khổ chưa! Ai xui chúa thượng cắm trại thế này?
可斩此人！”	Nên chém người ấy đi!
马良曰：“皆主上自为，非他人之谋。”	Mã Lương nói: - Đó là do chúa thượng cả, không ai xui đâu!
孔明叹曰：“汉朝气数休矣！”	Khổng Minh than rằng: - Khí số nhà Hán hỏng mất rồi!
良问其故。 孔明曰：“包原隰险阻而结营，此兵家之大忌。	Lương hỏi làm sao, Khổng Minh nói: - Bao bọc cả chỗ hiểm trở, cao thấp mà đóng đồn, đó là điều tối kỵ trong phép dùng binh.
倘彼用火攻，何以解救？	Nếu giặc đánh hỏa công, thì cứu làm sao?
又，岂有连营七百里而可拒敌乎？	Lại có lẽ đâu lập trại liên tiếp nhau bảy trăm dặm mà cự được giặc?
祸不远矣！	Tai vạ đến nơi rồi.
陆逊拒守不出，正为此也。	Lục Tốn giữ vững không ra, chính là vì thế.
汝当速去见天子，改屯诸营，不可如此。”	Ngươi nên trở về cho mau, tâu với thiên tử dời đồn đi chỗ khác mới được.
良曰：“倘今吴兵已胜，如之奈何？”	Lương hỏi: - Nếu quân Ngô đã đánh được quân ta rồi, thì làm thế nào?
孔明曰：“陆逊不敢来追，成都可保无虞。”	Khổng Minh nói: - Lục Tốn không dám đuổi đâu. Thành Đô này chắc không việc gì.
良曰：“逊何故不追？”	Lương hỏi: - Làm sao không dám đuổi?
孔明曰：“恐魏兵袭其后也。	Khổng Minh nói: - Sợ quân Ngụy úp đánh mặt sau, chớ sao!
主上若有失，当投白帝城避之。	Chúa thượng nếu có thua, nên chạy về thành Bạch Đế mà lánh.
吾入川时，已伏下十万兵在鱼腹浦矣。”	Khi ta vào Xuyên đã phục sẵn mười vạn quân ở bến Ngư Phúc rồi.
良大惊曰：“某于鱼腹浦往来数次，未尝见一卒，丞相何作此诈语？”	Lương giật mình, nói: - Tôi mấy lần qua lại bến đò, không thấy một tên quân nào, sao thừa tướng lại nói thế?
孔明曰：“后来必见，不劳多问。”	Khổng Minh nói: - Về sau khắc biết, không phải hỏi lôi thôi!
马良求了表章，火速投御营来。	Mã Lương xin giấy tờ rồi hỏa tốc đi sang ngự doanh.
孔明自回成都，调拨军马救应。	Khổng Minh trở về Thành Đô điều gấp quân mã ra cứu ứng.
却说陆逊见蜀兵懈怠，不复提防，升帐聚大小将士听令曰：“吾自受命以来，未尝出战。	Đây nói Lục Tốn thấy quân Thục có ý trễ nải, không gìn giữ cẩn thận như trước, mới hội cả từ khi phụng mệnh ra quân đến nay, chưa đánh trận nào.
