第一回宴桃园豪杰三结义斩黄巾英雄首立功	HỒI 1 Tiệc vườn đào, anh hùng kết nghĩa; Chém Khăn Vàng, hào kiệt lập công.
一面遣人起送董后；一面点禁军围骠骑将军董重府宅，追索印绶。	Hà Tiến một mặt sai người đưa Đổng Thái Hậu đi, một mặt phái quân cấm binh đến vây nhà phiêu kỵ tướng quân Đổng Trọng đòi lấy ấn thụ.
董重知事急，自刎于后堂。	Đổng Trọng biết việc chẳng lành, liền tự vẫn ở hậu đường.
家人举哀，军士方散。	Lúc người nhà cất tiếng khóc, quân sĩ mới không vây nữa trở về.
张让、段珪见董后一枝已废，遂皆以金珠玩好结构何进弟何苗并其母舞阳君，令早晚入何太后处，善言遮蔽：因此十常侍又得近幸。	Bọn Trương Nhượng, Đoàn Khuê thấy phe Đổng Thái Hậu thất bại, bèn đem vàng ngọc, châu báu đút lót em trai Hà Tiến là Hà Miêu và mẹ Tiến là Vũ Dương Quân, nhờ vào nói khéo với Hà Thái Hậu che chở cho. Bởi vậy mười tên hoạn quan lại được tin dùng.
六月，何进暗使人鸩杀董后于河间驿庭，举柩回京，葬于文陵。	Tháng sáu năm ấy, Hà Tiến ngầm sai người đến Hà Giang đánh thuốc độc giết Đổng Thái Hậu, đem linh cữu về kinh, táng ở Văn Lăng.
进托病不出。司隶校尉袁绍入见进曰：“张让、段珪等流言于外，言公鸩杀董后，欲谋大事。	Tiến cáo bệnh không đi đưa đámMột hôm quan tư lệ hiệu úy Viên Thiệu vào nói với Tiến rằng: - Bọn Trương Nhượng, Đoàn Khuê đang đi nói phao lên rằng ông đánh thuốc độc giết Đổng Thái Hậu, để mưu việc lớn.
乘此时不诛阉宦，后必为大祸。	Nếu bây giờ ông không giết ngay bọn chúng nó, tất có vạ lớn về sau.
昔窦武欲诛内竖，机谋不密，反受其殃。	Xưa Đậu Vũ muốn nhờ bọn hoạn quan trong cung, vì mưu mô không kín lại bị chúng giết.
今公兄弟部曲将吏，皆英俊之士；若使尽力，事在掌握。此天赞之时，不可失也。”	Hiện giờ anh em vây cánh ông, đều là những tay anh tuấn, vả lại quyền ở trong tay, thật là cơ hội trời cho, không nên bỏ lỡ.
进曰：“且容商议。”	Tiến nói: - Thong thả để sau sẽ bàn tính.
左右密报张让，让等转告何苗，又多送贿赂。	Mấy đứa tả hữu nghe lỏm được chuyện ấy, liền đi báo với Trương Nhượng. Bọn Trương Nhượng lại đem rất nhiều của báu lễ đút Hà Miêu.
苗入奏何后云：“大将军辅佐新君，不行仁慈，专务杀伐。	Miêu vào tâu Hà hậu rằng: - Đại tướng quân phò tá vua mới, không làm điều nhân từ, chỉ chăm chém giết.
今无端又欲杀十常侍，此取乱之道也。”	Nay tự nhiên vô cớ lại toan giết cả mười hoạn quan, thật tự mình gây ra mầm loạn.
后纳其言。	Hà hậu cho là phải.
少顷，何进入白后，欲诛中涓。	Một chốc, Hà Tiến vào tâu xin giết bọn hoạn quan.
何后曰：“中官统领禁省，汉家故事。	Hậu nói: - Bọn hoạn quan coi sóc việc trong cung cấm, phép cũ nhà Hán từ xưa vẫn thế.
先帝新弃天下，尔欲诛杀旧臣，非重宗庙也。”	Cớ sao tiên đế vừa mới chầu trời mà người chỉ muốn giết những bầy tôi cũ. Thế không phải là tôn trọng sự thờ cúng đối với tiên đế!
进本是没决断之人，听太后言，唯唯而出。	Tiến vốn là một người nhù nhờ không quyết đoán, nghe Hà Thái Hậu nói như vậy, vâng dạ luôn miệng rồi lui ra.
袁绍迎问曰：“大事若何？”	Viên Thiệu đứng đón ngoài cửa, hỏi rằng: - Việc lớn thế nào?
进曰：“太后不允，如之奈何？”	Tiến nói: - Thái Hậu không nghe thì làm thế nào?
绍曰：“可召四方英雄之士，勒兵来京，尽诛阉竖。	Thiệu nói: - Nên triệu những người anh hùng các nơi đem quân về kinh giết hết bọn hoạn quan này đi.
此时事急，不容太后不从。”	Đến lúc việc đã cấp bách thì Thái Hậu muốn chẳng nghe cũng chẳng được.
进曰：“此计大妙！”	Tiến nói: - Kế ấy diệu lắm.
便发檄至各镇，召赴京师。	Bèn truyền hịch đi các trấn, triệu các tướng lĩnh đem quân về kinh đô.
主薄陈琳曰：“不可！	Quan chủ bạ Trần Lâm can rằng: - Việc ấy không nên.
俗云：掩目而捕燕雀，是自欺也，微物尚不可欺以得志，况国家大事乎？	Tục ngữ có câu: "Bưng mắt bắt chim", ấy là mình tự dối mình. Việc nhỏ mọn cũng không thể tự dối mà làm xong, huống chi là việc lớn nước nhà?
今将军仗皇威，掌兵要，龙骧虎步，高下在心：若欲诛宦官，如鼓洪炉燎毛发耳。	Nay tướng quân dựa uy vua, cầm quyền lớn, như rồng bay hổ nhảy, muốn làm thế nào cũng được. Việc giết bọn hoạn quan thật dễ không khác quạt lò than đốt mấy sợi tóc.
但当速发雷霆，行权立断，则天人顺之。	Làm việc một cách quyền biến, quyết đoán ngay, phát động nhanh như sấm sét tức là thuận đạo trời và lòng người.
却反外檄大臣，临犯京阙，英雄聚会，各怀一心：所谓倒持干戈，授人以柄，功必不成，反生乱矣。”	Nay nếu triệu các quan ngoại trấn, mỗi người một bụng, biết ai thế nào? Có khác đưa chuôi dao cho người cầm mà mình cầm đằng lưỡi không? Như thế không những việc không thành mà lại sinh biến loạn nữa.
何进笑曰：“此懦夫之见也！”	Tiến cười nói: - Đó là kiến thức của hạng người hèn nhát!
傍边一人鼓掌大笑曰：“此事易如反掌，何必多议！”	Một người đứng lên vỗ tay cười lớn mà rằng: - Việc ấy dễ như trở bàn tay, hà tất phải bàn cho lắm!
视之，乃曹操也。	Mọi người nhìn xem ai, người ấy chính là Tào Tháo.
正是：欲除君侧宵人乱，须听朝中智士谋。	Đó chính là: Muốn giết tiểu nhân bên cạnh chúa Nên nghe mưu sĩ ở trong triều.
不知曹操说出甚话来，且听下文分解。	Muốn biết Tào Tháo nói thế nào, xem hồi sau sẽ rõ.
第三回议温明董卓叱丁原馈金珠李肃说吕布	HỒI 3 Tiệc Ôn Minh, Đổng Trác mắng Đinh Nguyên; Dùng vàng bạc, Lý Túc dụ Lã Bố
且说曹操当日对何进曰：“宦官之祸，古今皆有；但世主不当假之权宠，使至于此。	Lúc ấy Tào Tháo nói với Hà Tiến rằng: - Cái vạ hoạn quan, đời nào cũng có, nên vua chúa các đời không nên trao quyền bính và tin dùng chúng để chúng hoành hành như ngày nay.
若欲治罪，当除元恶，但付一狱吏足矣，何必纷纷召外兵乎？	Bây giờ muốn trị tội chúng tưởng chỉ nên giết mấy đứa đầu đảng. Như vậy chỉ cần một kẻ coi ngục cũng đủ, hà tất phải triệu quân ngoài vào.
欲尽诛之，事必宣露。吾料其必败也。”	Nếu muốn giết cả bọn chúng, cơ mưu tránh sao khỏi tiết lộ, tôi chắc công việc sẽ hỏng.
何进怒曰：“孟德亦怀私意耶？”	Hà Tiến tức giận mà rằng: - Mạnh Đức cũng hài lòng sao?
操退曰：“乱天下者，必进也。”	Tháo lui ra ngoài nói: - Làm loạn thiên hạ tất là Hà Tiến!
进乃暗差使命，赍密诏星夜往各镇去。	Tiến không nghe lời Tháo, mật sai người đem chiếu chỉ đi gấp đến các trận triệu quân vào kinh đô.
却说前将军、鳌乡侯、西凉刺史董卓，先为破黄巾无功，朝议将治其罪，因贿赂十常侍幸免；后又结托朝贵，遂任显官，统西州大军二十万，常有不臣之心。是时得诏大喜，点起军马，陆续便行；使其婿中郎将牛辅；守住陕西，自己却带李傕、郭汜、张济、樊稠等提兵望洛阳进发。	Nói về quan tiền tướng quân, tước Ngao hương hầu sung chức thứ sử Tây Lương là Đổng Trác, trước vì đánh giặc Khăn Vàng bị thua, triều đình đã toan trị tội, bởi có đút lót cho mười tên hoạn quan nên không can gì. Sau lại khéo kết giao với bọn quyền quý trong triều, làm đến chức lớn, thống lĩnh hai mươi vạn quân Tây Lương, vẫn có lòng phản nghịch. Bây giờ tiếp được chỉ triệu vào kinh, trong lòng hớn hở, liền điểm binh lục tục khởi hành, sai con rể là trung lang tướng Ngưu Phu đóng giữ Thiểm Tây, hắn tự đem bọn Lý Thôi, Quách Dĩ, Trương Tế, Phàn Trù dẫn quân đến Lạc Dương.
卓婿谋士李儒曰：“今虽奉诏，中间多有暗味。	Trác lại có người rể nữa, vừa là mưu sĩ cho hắn, tên là Lý Nho. Nho bảo Trác rằng: - Nay tuy phụng chỉ vào kinh, biết đâu trong đó chẳng có nhiều điều ám muội?
何不差人上表，名正言顺，大事可图。”	Chi bằng trước hãy sai người dâng biểu, cho danh nghĩa rõ ràng, mới có thể mưu toan việc lớn được.
卓大喜，遂上表。	Trác cả mừng, bèn sai thảo biểu dâng vào kinh trước.
其略曰：“窃闻天下所以乱逆不止者，皆由黄门常侍张让等侮慢天常之故。	Biểu rằng: "Thiết tướng thiên hạ đến nỗi loạn mãi thế này, đều bởi bọn hoạn quan Trương Nhượng khinh nhờn phép nước.
臣闻扬汤止沸，不如去薪；溃痈虽痛，胜于养毒。	Tôi nghĩ muốn cho nồi nước sôi khỏi dài ra ngoài cần phải rút bớt củi; mổ cái nhọt có chịu đau một lúc, mới khỏi nọc độc trong mình.
臣敢鸣钟鼓入洛阳，请除让等。社稷幸甚！天下幸甚！”	Tôi xin bạo dạn gióng trống khua chuông, dẫn quân vào Lạc Dương, để giết bọn Nhượng; được như thế thì xã tắc may lắm, thiên hạ may lắm!"
何进得表，出示大臣。	Hà Tiến đem tờ biểu đưa các quan xem.
侍御史郑泰谏曰：“董卓乃豺狼也，引入京城，必食人矣。”	Có quan thi ngự sử Trịnh Thái can rằng: - Đổng Trác là giống sài lang, để hắn vào kinh, hắn sẽ ăn thịt người.
进曰：“汝多疑，不足谋大事。”	Tiến nói: - Anh đa nghi như thế, mưu việc lớn sao được?
卢植亦谏曰：“植素知董卓为人，面善心狠；一入禁庭，必生祸患。	Lư Thực cũng can rằng: - Tôi vốn biết Đổng Trác là đứa mặt người dạ thú, hễ để cho hắn vào chốn cấm đình, tất sinh tai vạ.
不如止之勿来，免致生乱。”	Chi bằng ngăn cản đừng cho hắn vào là hơn.
进不听，郑泰、卢植皆弃官而去。	Tiến cũng không nghe. Trịnh Thái, Lư Thực đều bỏ quan mà đi.
朝廷大臣，去者大半。	Các quan đại thần trong triều cũng bỏ đi quá nửa.
进使人迎董卓于渑池，卓按兵不动。	Tiến sai người đón Đổng Trác ở Thăng Trì, Trác đóng quân lại, không tiến vội.
张让等知外兵到，共议曰：“此何进之谋也；我等不先下手，皆灭族矣。”	Bọn Trương Nhượng được tin quân ngoài kéo vào cùng bàn nhau rằng: - Đó là mưu của Hà Tiến, nếu chúng ta không hạ thủ trước, sẽ chết cả họ.
乃先伏刀斧手五十人于长乐宫嘉德门内，入告何太后曰：“今大将军矫诏召外兵至京师，欲灭臣等，望娘娘垂怜赐救。”	Bèn mai phục năm mươi tên đao phủ ở mé trong cửa Gia Đức, cung Trường Lạc, rồi vào tâu Hà Thái Hậu rằng: - Nay đại tướng quân giả làm chiếu chỉ, triệu quân ngoại trấn vào kinh, định giết cả bọn chúng tôi, xin mẫu hậu rủ lòng thương cứu cho.
太后曰：“汝等可诣大将军府谢罪。”	Thái Hậu nói: - Các ngươi nên đến dinh đại tướng quân mà tạ tội.
让曰：“若到相府，骨肉齑粉矣。	Nhượng nói: - Tâu mẫu hậu, nếu chúng tôi đến tướng phủ, tất là thịt nát xương tan, còn sống sao được.
望娘娘宣大将军入宫谕止之。	Xin mẫu hậu tuyên triệu đại tướng quân vào cung mà dụ bảo cho.
如其不从，臣等只就娘娘前请死。”	Nếu mẫu hậu không chút thương tình, thì chúng tôi xin chết ngay ở trước mặt mẫu hậu.
太后乃降诏宣进。	Thái Hậu bèn giáng chỉ triệu Tiến vào.
进得诏便行。	Tiến tiếp chỉ, toan đi ngay.
主簿陈琳谏曰：“太后此诏，必是十常侍之谋，切不可去。去必有祸。”	Trần Lâm can rằng: - Tờ chiếu này tất là mưu mô của mấy tên hoạn quan, ông không nên đi, nếu đi tất có vạ lớn.
进曰：“太后诏我，有何祸事？”	Tiến nói: - Thái Hậu triệu ta, làm gì có tai vạ?
袁绍曰：“今谋已泄，事已露，将军尚欲入宫耶？”	Viên Thiệu nói: - Bây giờ mưu cơ đã lộ, tướng quân còn muốn vào cung hay sao?
曹操曰：“先召十常侍出，然后可入。”	Tào Tháo nói: - Không gì bằng triệu ngay mười đứa hoạn quan ra đây đã, rồi hãy vào!
进笑曰：“此小儿之见也。	Tiến cười nói: - Đó là kiến thức của trẻ con.
吾掌天下之权，十常侍敢待如何？”	Hiện quyền bính thiên hạ ở trong tay ta, mấy đứa hoạn quan dám làm gì nổi!
绍曰：“公必欲去，我等引甲士护从，以防不测。”	Thiệu nói: - Nay ông định vào cung, chúng tôi xin đem quân hộ vệ để phòng sự bất trắc.
于是袁绍、曹操各选精兵五百，命袁绍之弟袁术领之。	Viên Thiệu, Tào Tháo mỗi người kén năm trăm quân giao cho em Viên Thiệu là Viên Thuật thống lĩnh.
