奉勅開載諸臣職名總裁	Vâng sắc khai chép tên chức và tên các quan trong Quốc sử quán: Tổng tài:
召左軍阮久逸詣行在 久逸與從官外左尊室靖尊室泗之子 時稱郡公 掌營尊室暾 掌奇尊室晊 內隊長阮久愼阮入法之子杜淸仁隊長張福穎等進 曰 皇孫暘素有賢德	Cửu Dật cùng bọn tụng quan là Ngoại tả Tôn Thất Tĩnh (con Tôn Thất Tứ, bấy giờ gọi là Quận công), Chưởng dinh Tôn Thất Kính, Chưởng cơ Tôn Thất Chí, Nội đội trưởng Nguyễn Cửu Thận (con Nguyễn Cửu Pháp) và Đỗ Thanh Nhân, Đội trưởng Trương Phước Dĩnh, dâng lời rằng:
稱東宮 鎭撫廣南 總理內外諸事 務令諸將檢閱水步軍 爲進取計	Chúa bèn lập hoàng tôn Dương làm thế tử, gọi là Đông cung, cho Trấn phủ Quảng Nam, tổng lý các công việc trong ngoài, và sai các tướng kiểm duyệt quân thủy bộ làm kế tiến thủ.
居數日 西賊阮文岳使集亭李才將舟師 出合和海口 卽今大壓海口 岳步兵沿山出秋盆江 兩道來侵	Chúa ở được vài ngày thì giặc Tây Sơn Nguyễn Văn Nhạc sai Tập Đình và Lý Tài đem thủy binh ra cửa biển Hiệp Hòa (tức cửa Đại áp ngày nay), bộ binh của Nhạc thì theo ven núi ra sông Thu Bồn, hai đạo đánh đến.
阮久逸與戰不利 走茶山	Nguyễn Cửu Dật đánh không lợi, chạy ra Trà Sơn.
東宮退還	Đông cung lùi về Cu Đê (tên đất).
今前有西賊 後有鄭兵 我兵精壯不滿一千	"Hiện nay đằng trước có giặc Tây Sơn, đằng sau có quân họ Trịnh, mà số quân tinh giỏi của ta không đầy một nghìn, lương thảo thiếu thốn.
而嘉定之兵久無聲息 其議以阮久愼爲右軍大都督 與汝畱守此地 阮久逸整備戰船	Đã nghị cho Nguyễn Cửu Thận là Hữu quân đại đô đốc cùng ngươi lưu giữ nơi này, còn Nguyễn Cửu Dật thì chỉnh bị chiến thuyền hộ giá đi Gia Định, thu quân về đánh Phú Yên, Quy Nhơn để chia thế giặc. Quân Cu Đê sẽ nhân đó mà hợp sức tiến đánh.
此攻遠救近之計也 東宮受命 畱俱低尊室靖 尊室晊宋福淡等皆屬焉 二月鄭森自河中還 令黃五福將兵侵廣南 庚寅御舟駕海	Tháng 2, Trịnh Sâm từ Hà Trung trở về, sai Hoàng Ngũ Phúc đem quân lấn Quảng Nam. Ngày Canh dần, thuyền chúa đi biển, gặp gió to, thuyền đi theo của Tôn Thất Kính và Nguyễn Cửu Dật đều đắm mất. Bấy giờ Thế tổ Cao hoàng đế (14 tuổi) cùng chúa ngồi một thuyền, chỉ thuyền này không việc gì.
卽授福洽爲節制敬郡公	Chúa tức thì cho Phước Hiệp làm Tiết chế Kính quận công.
參政所部及應義軍阮文仁等各授該隊隊長	Khoa Thuyên làm Tham chính. Bộ thuộc và quân ứng nghĩa là bọn Nguyễn Văn Nhân đều được trao chức cai đội, đội trưởng.
科拴與掌奇張福愼扈從南幸阮人逸	Khoa Thuyên cùng Chưởng cơ Trương Phước Thận theo giá vào Nam.
明命二十一年封升華郡公 從祀太廟 紹治元年改封升平郡公	(Nguyễn Cửu Dật, năm Minh Mệnh thứ 21 được phong Thăng Hoa quận công, tòng tự ở Thái miếu, năm Thiệu Trị thứ 1 cải phong Thăng Bình quận công).
壬寅御舟至嘉定 駐蹕于牛渚 在嘉定省莅鄚 天賜率諸子詣行在拜謁 上奬勞之	Ngày Nhâm dần, thuyền chúa đến Gia Định.
該奇令各回鎭江道 按守東宮屯 俱低 挾以阮文岳謀 欲迎立惑眾 乃使其黨統率 面先鋒正統部詳俱缺姓 率兵二千 屯翠鸞	Chúa khen và ủy lạo, gia thăng làm Đô đốc quận công, cho con là Hoàng làm Chưởng cơ, Thảng làm Cai cơ Thắng thủy, Diên làm Tham tướng Cai cơ, khiến đều về đạo Trấn Giang đóng giữ.
蒲阪俱地名 屬廣南省爲上道 集亭李才率兵二千 屯巴渡 地名爲中道督戰 豐虎將罕俱缺姓 率兵二千 屯河申 地名爲下道	Đông cung đóng ở Cu Đê, Nguyễn Văn Nhạc mưu muốn đón rước Đông cung lập làm vua để mượn tiếng mà đánh lừa dân chúng, bèn sai người đảng là thống suất Diện, tiên phong chính thống bộ là Tường (đều không rõ họ) đem 2000 quân đóng đồn ở Thúy Loan và Bồ Bản (tên đất thuộc tỉnh Quảng Nam) làm thượng đạo, Tập Đình và Lý Tài đem 2000 quân đóng đồn ở Ba Độ (tên đất) làm trung đạo, đốc chiến Phong, hổ tướng Hãn (đều không rõ họ) đem 2000 quân đóng ở Hà Thân (tên đất) làm hạ đạo
約迎得東宮者有重賞	hẹn ai rước được Đông cung thì có trọng thưởng.
東宮知之 遣謀士敎貴缺姓 往說上道 賊將面詳等 曰	Đông cung biết tin, sai mưu sĩ là Giáo Quý (không rõ họ) đến nói với tướng giặc thượng đạo là Diện và Tường rằng:
西山雖一時猖獗 然北有鄭兵 南有嘉定 大兵腹背受敵 久必難保 爾等不早見機	"Tây Sơn dẫu một thời gian hung hăng, nhưng phía bắc có quân Trịnh, phía nam có đại binh Gia Định, trước mặt sau lưng đều bị địch, khó giữ lâu được, bọn ngươi nếu không sớm biết thời cơ, sau này không khỏi là bè đảng giặc.
終不免爲盜賊黨 不若背暗向明 從我南人 連約嘉定兵 共圖恢復 垂功名於竹帛 顧不韙歟	Chi bằng tránh chỗ tối, hướng chỗ sáng, theo ta vào Nam, ước hẹn với quân Gia Định cùng mưu đồ khôi phục, để công danh ghi sử sách, há chẳng hay ư".
面詳等皆受命	Bọn Diện, Tường đều vâng mệnh.
夏四月東宮由山路行	Mùa hạ, tháng 4, Đông cung do đường núi mà đi, nhân dân đi theo đông.
百姓從之者眾 集亭李才幸兵追至汗耶 與面詳等戰破之 逼迎東宮還 會安舖 集亭累欲害之	Tập Đình và Lý Tài đem binh đuổi theo đến Ô Da, đánh phá được bọn Diện, Tường, ép mang Đông cung về phố Hội An.
李才每爲勸解	Tập Đình nhiều lần muốn hại, Lý Tài khuyên mãi mới thôi.
乃止 鄭將黃五福兵過海雲關 阮文岳使其黨集亭爲先鋒	Quân của tướng Trịnh là Hoàng Ngũ Phúc qua cửa Hải Vân.
鄭屬將黃廷體黃馮基出輕騎 突人殺集亭軍甚眾	Thuộc tướng Trịnh là Hoàng Đình Thể, Hoàng Phùng Cơ đem quân khinh kỵ xông vào giết quân Tập Đình rất nhiều.
岳與李才走板津廣南廣義夾界處 共謀誅集亭	Nhạc và Lý Tài chạy về Bản Tân [Bến Ván] (chỗ giáp giới Quảng Nam, Quảng Ngãi), cùng mưu giết Tập Đình.
集亭奔廣東 後爲總督所殺	Tập Đình chạy sang Quảng Đông (sau bị tổng đốc tỉnh này giết).
岳遂迎東宮還歸	Nhạc bèn đón Đông cung về Quy Nhơn.
仁福屯兵廣南 五月宋福洽進克富安 步兵屯春臺 水兵次淋澳 春臺淋澳均屬富安 使同春知縣白允朝與該隊碩缺姓令于賊	Phước thì đóng quân ở Quảng Nam. Tháng 5, Tống Phước Hiệp tiến lấy được Phú Yên, quân bộ đóng ở Xuân Đài, quân thủy đóng ở Lấm úc [Vũng Lấm] (Xuân Đài, Vũng Lấm đều thuộc Phú Yên), sai Tri huyện Đồng Xuân là Bạch Doãn Triều cùng Cai đội Thạc (không biết họ) ra lệnh cho giặc rằng:
曰 還我東宮 不然大兵且至無去路矣	"Trả Đông cung ta, nếu không thì đại binh sẽ đến, không còn đường chạy".
佯應諾 允朝等還 岳盡將貨寶藏于西山上 遷東宮于河藔安泰以避之	Bọn Doãn Triều về, Nhạc đem hết của báu cất dấu trên núi Tây Sơn, rồi dời Đông cung đến Hà Liêu, An Thái để tránh.
海陵人林沐二人 名俱缺姓 一云 朱美自稱尊室 聚眾于甘露海陵登昌明靈諸縣豪目多應之	Có hai người ở Hải Lăng tên là Lâm và Mộc (cả hai đều không rõ họ, có thuyết là tên Chu và Mỹ) tự xưng là người tôn thất, họp quân ở các huyện Cam Lộ, Hải Lăng, Đăng Xương, Minh Linh, hào mục nhiều người theo.
鄭森遣范輝錠按葛營 與裴世達合兵 捕獲之 誅林沐及其黨數百人	Trịnh Sâm sai Phạm Huy Đĩnh đóng ở Dinh Cát, cùng với Bùi Thế Đạt họp quân bắt được, giết Lâm và Mộc cùng đồ đảng vài trăm người.
西賊阮文岳自錦沙之敗 其黨多離散	Giặc Tây Sơn Nguyễn Văn Nhạc từ trận thua ở Cẩm Sa, bè đảng nhiều người ly tán.
及聞宋福洽軍至大驚 乃使其屬潘文歲等持金幣就黃五福軍乞降 求爲前驅	Kịp nghe quân Tống Phước Hiệp đến, Nhạc cả sợ, bèn sai thuộc hạ là bọn Phan Văn Tuế đem vàng bạc đến quân Hoàng Ngũ Phúc xin hàng, cầu làm quân tiền khu.
福許之 授岳爲西山長校壯節將軍 令阮有整齋敕印旗劍與之	Phước nhận cho, và cho Nhạc làm Tây Sơn trưởng hiệu Tráng biết tướng quân, sai Nguyễn Hữu Chỉnh đem sắc ấn cờ kiếm trao cho.
岳又謀立東宮以收筮心 乃迎東宮還芃江地名 以其女壽香配之	Nhạc lại mưu lập Đông cung để thu lòng dân, bèn rước Đông cung về đất Bông Giang, đem con gái là Thọ Hương gả cho.
屢請正王位 東宮不許	Nhiều lần xin Đông cung lên ngôi vương, Đông cung không nhận.
岳乃使東宮從官尊室靖往廣義 撫慰軍民 結諸蠻冊 又使尊室晊八富安 諭宋福洽 以尊立東宮共扶社稷之意 晊去	Nhạc bèn sai quan hầu của Đông cung là Tôn Thất Tĩnh đi Quảng Ngãi phủ dụ quân dân, giao kết với các sách man [Mọi], lại sai Tôn Thất Chí vào Phú Yên lấy cái ý tôn lập Đông cung để cùng giúp xã tắc dụ Tống Phước Hiệp.
後數月 聞靖爲賊所害 遂入嘉定不返	Sau khi đi được vài tháng, Chí nghe tin Tĩnh bị giặc giết, bèn vào Gia Định không trở về nữa.
秋七月宋福洽攻賊于富安敗績	Mùa thu, tháng 7, Tống Phước Hiệp đánh giặc ở Phú Yên, bị thua.
時阮文岳使人乞降	Bấy giờ Nguyễn Văn Nhạc sai người đến xin hàng.
福洽信之不爲備	Phước Hiệp tin lời, không phòng bị.
岳使阮文惠掩擊破之	Nhạc sai Nguyễn Văn Huệ đánh úp phá được.
該隊阮文賢力戰死于陣	Cai đội Nguyễn Văn Hiền cố sức đánh, bị chết ở trận.
惠獲該奇阮科堅科詮之子 以歸 畱李才屯富安 福洽退保煙岡 掌奇宋福和守烏甘	Huệ bắt được Cai cơ Nguyễn Khoa Kiên (con Khoa Thuyên) đem về, và lưu Lý Tài đóng ở Phú Yên. Phước Hiệp lui giữ Hòn Khói. Chưởng cơ Tống Phước Hòa giữ Ô Cam (tên đất).
地名黃五 福進次珠塢廣義界首	Hoàng Ngũ Phúc tiến đóng ở Châu ổ (đầu địa giới Quảng Ngãi).
阮文岳以攻破富安之功請於福 授阮文惠 爲西山校前鋒將軍	Nguyễn Văn Nhạc lấy công Huệ đánh phá được Phú Yên xin với Phúc cho Huệ làm Tây Sơn hiệu tiền phong tướng quân.
會疫作 鄭兵死者太半	Gặp có bệnh dịch, quân Trịnh chết già nửa.
福由是密定回兵之計	Vì vậy Phúc bí mật định kế hồi binh.
鄭文臣阮儼阮令賓等皆欲畱兵廣南	Văn thân của Trịnh là bọn Nguyễn Nghiễm, Nguyễn Lệnh Tân đều muốn lưu quân ở Quảng Nam, đặt quan trấn thủ.
設官鎭守 福不聽 馳書于鄭 請回兵順化 而棄升奠二府之地 以爲後圖	Phước không nghe, kíp gửi thư cho Trịnh xin đem quân về Thuận Hóa, bỏ đất hai phủ Thăng [Hoa] và Điện [Bàn] để bước sau sẽ tính.
森許之	Sâm y cho.
冬十月黃五福引兵還富春	Mùa đông, tháng 10, Hoàng Ngũ Phúc dẫn quân về Phú Xuân.
尋以病還 死於道	Sau bị bệnh, trở về [Bắc], chết ở giữa đường.
鄭森委裴世達阮廷棟畱守富春 潘仲藩汪士典阮令賓等佐之	Trịnh Sâm ủy cho Bùi Thế Đạt và Nguyễn Đình Đống lưu giữ Phú Xuân và cho bọn Phan Trọng Phiên, Uông Sĩ Điển, Nguyễn Lệnh Tân giúp việc.
十一月尊室鬈世宗第十四千 尊室春世宗第十七子 起兵於廣南 張福佐爲之謀主 又有淸商名 悉以家貲億萬助之 軍勢大振 據升奠二府	Tháng 11, Tôn Thất Quyền (con thứ 14 của Thế tông) và Tôn Thất Xuân (con thứ 17 của Thế tông) dấy binh ở Quảng Nam, do Trương Phước Tá làm mưu chủ, lại được khách buôn người Thanh tên là Tất đem của riêng giúp cho hàng ức vạn, quân thế rất mạnh, đóng giữ hai phủ Thăng Hoa và Điện Bàn.
阮文岳欲以阮科堅爲將禦之 科堅不屈 伏刃死 岳乃悉眾拒戰	Nguyễn Văn Nhạc muốn dùng Nguyễn Khoa Kiên làm tướng để chống cự, nhưng Khoa Kiên không chịu, lấy gươm tự tử.
相持二月餘 會歲饑 鬈軍乏糧 岳乘之 皆潰散	Nhạc bèn đem hết quân ra để chống đánh, giữ nhau hơn 2 tháng. Gặp phải năm đói, quân của Quyền thiếu lương, Nhạc thừa thế đánh tan.
鬈不知所終 春走嘉定	Quyền không biết kết cục ra sao, còn Xuân thì chạy về Gia Định.
岳畱賊參將阮文睿守廣南 自引兵回歸仁	Nhạc lưu tham tướng giặc là Nguyễn Văn Duệ giữ Quảng Nam, rồi tự dẫn quân về Quy Nhơn.
朱文接以兵來歸	Chu Văn Tiếp đem quân về theo.
文接富安同春人 勇敢有才略 初聚兵茶榔千餘人 聞西賊旣立東宮 欲往歸之	Chu Văn Tiếp người huyện Đồng Xuân phủ Phú Yên, dũng cảm, có tài lược, đầu thì họp quân ở Trà Lang hơn 1000 người, nghe giặc Tây Sơn đã lập Đông cung, đã muốn đi theo.
及見賊兵殘虐 遂决意歸順	Sau thấy quân giặc tàn bạo, bèn quyết ý quy thuận.
宋福洽以事聞	Tống Phước Hiệp đem việc báo lên.
上令將所部兵 按守上道 與五營兵相爲聲應	Chúa sai đem quân bản bộ đóng giữ thượng đạo, để làm thanh ứng với quân 5 dinh.
由是軍勢稍稍復振	Do đó, quân thế dần dần lại mạnh lên.
賊將李才以富安降	Tướng giặc là Lý Tài đem đất Phú Yên đầu hàng.
初阮文岳欲倚李才爲助 及得志 待之寢薄 李才遂有効順之意 尊室晊去歸仁	Đầu là Nguyễn Văn Nhạc muốn nhờ Lý Tài làm chỗ tựa, kịp lúc đắc chí đối đãi dần dần bạc bẽo, Lý Tài bèn có ý quay về giúp ta.
至是因守富安 乃盡率所屬兵馬 詣宋福洽軍降 事聞	Đến đây, nhân giữ Phú Yên, bèn đem hết binh mã sở thuộc đến quân của Tống Phước Hiệp đầu hàng.
宋福洽殺賊將名義缺姓 及其黨五十人	Tống Phước Hiệp giết tướng giặc tên là Nghĩa (không rõ họ) và đồ đảng 50 người.
義爲賊前驅 富安之役大挫我軍	Nghĩa là tiền khu của giặc trong trận Phú Yên, làm tổn hại quân ta nhiều.
福洽深以爲恨 因尊室晊誘之降 遂殺之	Phước Hiệp rất lấy làm giận, nay nhân Tôn Thất Chí dụ được Nghĩa về hàng, bèn đem giết.
命參贊陳文識 將兵守富安 與宋福洽軍爲犄角以禦賊	Sai Tham tán Trần Văn Thức đem quân giữ Phú Yên, cùng quân Tống Phước Hiệp làm thế dựa nhau để chống giặc.
以裴有禮爲龍湖營記錄	Lấy Bùi Hữu Lễ làm Ký lục dinh Long Hồ.
丙申十一年春二月鄭森遣其臣黎貴惇爲順化參視 阮茂潁爲副督視 與裴世達經理軍務 又遣吳福瀅爲洞海屯畱守 潘輝盎爲協同	Bính thân, năm 11, mùa xuân, tháng 2, Trịnh Sâm sai bề tôi là Lê Quý Đôn làm Tham thị Thuận Hóa, Nguyễn Mậu Dĩnh làm Phó đốc thị, cùng với Bùi Thế Đạt kinh lý việc quân; lại sai Ngô Phước Oánh làm Lưu thủ đồn Đông Hải, Phan Huy áng làm hiệp đồng.
阮文岳盡籍歸仁府三縣丁壯爲兵 使 阮文呂爲節制 幸水兵入寇嘉定	Nguyễn Văn Nhạc bắt biên tên hết đinh tráng 3 huyện thuộc phủ Quy Nhơn làm binh, sai Nguyễn Văn Lữ làm tiết chế, đem thủy binh vào cướp Gia Định.
上命掌奇宋福祐 護駕幸鎭邊營 駐蹕于仝藍 卽今海尚賊 遂據柴棍	Chúa sai Chưởng cơ Tống Phước Hựu hộ giá đến dinh Trấn Biên, dừng chân ở Đồng Lam (nay là Hải Động).
遣其將調遣 和缺姓犯龍湖營	Giặc bèn giữ Sài Gòn, sai tướng là Điều khiển Hòa (không rõ họ) đánh vào dinh Long Hồ.
記錄裴有禮拒戰	Ký lục Bùi Hữu Lễ cự chiến, bị Hòa bắt được.
爲和所獲 有禮罵賊不屈 賊烹而啖之 鄭森使裴世達開鑄錢場	Hữu Lễ mắng giặc không chịu khuất, bị giặc làm thịt ăn.
毁銅礮弊器 鑄景興順寶錢三萬餘緡 又募人開採南浦土山金礦 數月不得金遂止	Trịnh Sâm sai Bùi Thế Đạt mở trường đúc tiền, hủy những súng đồng và các đồ đồng nát để đúc tiền Cảnh Hưng thuận bảo hơn 30000 quan, lại mộ người để khai lấy mỏ vàng ở núi đất Nam Phố, mấy tháng không được vàng, rồi bỏ.
三月西賊阮文岳遷東宮于什塔寺 增築闍槃城 僭稱西山王 鑄金印屢缺 三鑄乃成	Tháng 3, giặc Tây Sơn Nguyễn Văn Nhạc dời Đông cung đến chùa Thập Tháp, đắp thêm thành Trà Bàn, tiếm xưng là Tây Sơn vương, đúc ấn vàng, bị khuyết mãi, ba lần mới thành.
阮文惠稱龍驤將軍	Nguyễn Văn Huệ xưng là Long Nhương tướng quân.
餘其黨各與僞職	Các người đảng khác đều được trao cho ngụy chức.
夏四月阮文岳攻鄭守將張公奉于廣南	Mùa hạ, tháng 4, Nguyễn Văn Nhạc đánh Thủ tướng của Trịnh là Trương Công Phụng ở Quảng Nam.
